article_id,sentiment_raw,sentiment_norm,risk_raw,risk_norm,sector_raw,sector_norm,predicted_sector,sector_ok,evidence_user_raw,evidence_predicted,evidence_ok,evidence_rule
rss-6668b6b25430b211,positive,positive,valuation risk,valuation risk,Industrials,Industrials,Industrials,1,"This lithium producer surpassed a $1B private valuation, joining some of America's most powerful startups.","Aerospace & Defense ETF (BATS:ITA) has climbed 35% over the past year and nearly 17% year to date, and the reflexive retail question is whether the run is exhausted.",0,nomatch(0.35)
rss-31eea56206a323fa,Neutral,neutral,earning risk,earnings risk,Technology,Technology,Unmapped,0,Memory names and highflying AI plays have all come back to earth the last few weeks,A violent rotation is taking place under the hood of the stock market ahead of second-quarter earnings.,0,nomatch(0.32)
rss-d090efefd2339b40,postive,positive,macro risk,macro risk,Real Estate;Utilities,Real Estate;Utilities,Utilities,1,Orthodontic costs have steadily risen over time,"Orthodontists now evaluate some children as early as age seven, looking for jaw-development issues, crowding, bite problems, and other concerns that can become more expensive to fix later.",0,nomatch(0.19)
rss-90d8992f545666da,positive,positive,earning risk,earnings risk,Consumer Staples,Consumer Staples,Consumer Staples,1,"A long history of dividend increases, the ability to continue doing so, and a better-than-market dividend yield add up to a long-term buying opportunity.",The company has a deep commitment to dividends.,0,nomatch(0.17)
rss-60b4f4d201022bc7,positive,positive,earning risk;valuation risk,earnings risk;valuation risk,Technology,Technology,Communication Services,0,"Following Alphabet, This Could Be the Next Trillion-Dollar Artificial Intelligence (AI) Stock Greg Abel Adds to Berkshire's Portfolio",Berkshire Hathaway has steadily turned Alphabet into a major position over the last couple of quarters.,0,nomatch(0.28)
rss-72688f8d89fa086e,positive,positive,earning risk,earnings risk,Communication Services,Communication Services,Technology,0,"a reported internal memo about expanding its computing capacity and a new AI chip through a partnership with Broadcom. The Roundhill Magnificent Seven ETF was up 1.2%, mostly thanks to Meta’s climb.","There were multiple recent catalysts that sent Meta stock higher from reports that the company plans to rent out its surplus compute to Mark Zuckerberg announcing the release of Muse Spark 1.1, and a reported internal memo about expanding its computing capacity and a new AI chip through a partnership with Broadcom.",0,nomatch(0.04)
rss-4b7ac41931a0c81e,negative,negative,valuation risk,valuation risk,overall,Unmapped,Financials,0,"A long-short momentum strategy, which buys recent equity winners and sells losers, dropped more than 3% for a second straight week, an S&P Global index shows, taking its two-week loss to the worst in more than three years.",(Bloomberg) -- A violent rotation in the underbelly of a bullish stock market is extending the worst run for quantitative hedge funds since 2023.,0,nomatch(0.28)
rss-30f0e0f45f2bf5c5,positive,positive,commodity risk,commodity risk,energy,Energy,Energy,1,Chevron (CVX) is poised to post second-quarter earnings above Wall Street's expectations on stronger,Chevron (CVX) is poised to post second-quarter earnings above Wall Street's expectations on stronger Chevron (CVX) is poised to post second-quarter earnings above Wall Street's expectations on stronger,1,containment
rss-1d7799b4365e289f,positive,positive,liquildity risk,liquidity risk,Healthcare,Healthcare,Real Estate,0,This is beneficial because a fully leased asset can support steadier rental income and reduce near-term vacancy risk.,"Meanwhile, revenue and FFO pressures linger.",0,nomatch(0.28)
rss-458133ea68eed813,positive,positive,none,none,Materials,Materials,Materials,1,Mundoro Advances Central Timok Project with Recent Skorusa East Drilling,"(TSXV: MUN) (OTCQB: MUNMF) (www.mundoro.com) (""Mundoro"" or the ""Company"") is pleased to announce the completion of a 1,288.1 meters diamond drill program at the Skorusa East target within the Central Timok project (Figure 1) located within the Timok Magmatic Complex (""Timok"") in Serbia.",0,nomatch(0.13)
rss-edab0a9c007e76c0,negative,negative,demand risk,demand risk,Energy,Energy,Energy,1,"Iran is likely to face challenges in clearing its oil inventories even after restrictions on its exports are lifted, as its biggest customer tweaks its energy strategy while oil from other suppliers floods the market, according to analysts.","Iran may face challenges in clearing oil inventories even after restrictions have been lifted, amid oil supplies elsewhere while China becomes less enthusiastic Iran may face challenges in clearing oil inventories even after restrictions have been lifted, amid oil supplies elsewhere while China becomes less enthusiastic",0,nomatch(0.21)
rss-2b8df568f1ad6452,positive,positive,none,none,Materials,Materials,Materials,1,"Freeport-McMoRan stock has delivered a 78% return over the past five years, and the current Discounted Cash Flow (DCF) intrinsic value estimate now points to meaningful upside compared with where the shares trade today, even as broader valuation checks send a more mixed message.","Over five years, a 78% total return suggests Freeport-McMoRan has already rewarded long term holders.",0,nomatch(0.21)
rss-95d3fe25d2d64402,positive,positive,none,none,Healthcare,Healthcare,Healthcare,1,BridgeBio Stock Taps Rare Disease Trends and New Diagnosis Growth,BBIO builds on Attruby's launch as rising rare disease diagnoses and late-stage pipeline candidates set up multiple potential U.S.,0,nomatch(0.38)
rss-419bbe3939417fb9,positive,positive,none,none,Financials,Financials,Financials,1,"ELITE CAPITAL MARKETS PARTNERS TO JOIN LATHAM & WATKINS, FURTHER EXPANDING FIRM'S MARKET LEADERSHIP - PR Newswire","ELITE CAPITAL MARKETS PARTNERS TO JOIN LATHAM & WATKINS, FURTHER EXPANDING FIRM'S MARKET LEADERSHIP PR Newswire ELITE CAPITAL MARKETS PARTNERS TO JOIN LATHAM & WATKINS, FURTHER EXPANDING FIRM'S MARKET LEADERSHIP PR Newswire",0,nomatch(0.60)
rss-d04d5ba9689413d5,negative,negative,valuation risk,valuation risk,Technology,Technology,Industrials,0,Memory chip stocks fall into a bear market amid latest tech sell-off,"Yahoo Finance Markets and Data Editor Jared Blikre takes a closer look at the memory chip trade — particularly the intraday performances of Micron Technology (MU), SK Hynix (000660.KS), and Samsung (005930.KS) — as these three big names have seemingly dragged the sector into a bear market.",0,nomatch(0.08)
rss-930d5f12a30637cc,positive,positive,valuation risk,valuation risk,Healthcare,Healthcare,Financials,0,"Kymera Therapeutics now carries an updated fair value estimate of US$123.76, a modest step up from US$119.19 that has drawn attention to how analysts are fine tuning their price targets.","Much of the recent commentary links these changes to earlier than expected completion of the BROADEN2 trial, a pulled forward KT-621 readout, and fresh views on how much of that opportunity belongs in Kymera Therapeutics' valuation today.",0,nomatch(0.06)
rss-7c8555a67bc42f6b,positive,positive,valuation risk,valuation risk,energy,Energy,Energy,1,Sector Update: Energy Stocks Advance Pre-Bell Wednesday,"Energy stocks were advancing pre-bell Wednesday, with the State Street Energy Select Sector SPDR ETF Energy stocks were advancing pre-bell Wednesday, with the State Street Energy Select Sector SPDR ETF",0,nomatch(0.30)
rss-66e80b93b45a4aa0,negative,negative,valuation risk,valuation risk,energy,Energy,Utilities,0,Sector Update: Energy Stocks Decline Late Afternoon,"Energy stocks were lower late Monday afternoon, with the NYSE Energy Sector Index decreasing 0.2% an Energy stocks were lower late Monday afternoon, with the NYSE Energy Sector Index decreasing 0.2% an",0,nomatch(0.19)
rss-1513f7e73c2ca9b1,negative,negative,regulatory risk,regulatory risk,None,Unmapped,Unmapped,1,"Legal experts say the law could face a constitutional challenge over whether Kentucky can eliminate the governor’s appointment power, potentially leaving the seat tied up in litigation.","Beshear as Senate vacancy questions grow McConnell, the former longtime Senate leader who declined to seek an eighth term following a series of health scares, was admitted to a hospital on June 14.",0,nomatch(0.33)
rss-d0b80d534778c0b5,positive,positive,earning risk,earnings risk,Communication Services;Health Care,Communication Services;Healthcare,Communication Services,1,"Below, I'll compare a couple of top dividend stocks: Pfizer (PFE+1.27%) and Verizon Communications (VZ+2.37%).","These stocks offer high yields, are big names in their respective sectors, and have strong fundamentals.",0,nomatch(0.30)
rss-78fe4768e1d8d722,negative,negative,earning risk,earnings risk,Technology,Technology,Technology,1,"Nvidia is currently trading at its lowest forward earnings multiple in seven years, a level that Bloomberg noted takes the stock back to pre-AI boom valuation territory.",Nvidia has lost roughly a trillion dollars in market value in less than two months.,0,nomatch(0.31)
rss-7a76cd4847965c2c,negative,negative,valuation risk,valuation risk,Materials,Materials,Materials,1,"Freeport-McMoRan (FCX) ended the recent trading session at $60.53, demonstrating a -3.75% change from the preceding day's closing price.","Freeport-McMoRan (FCX) closed at $60.53 in the latest trading session, marking a -3.75% move from the prior day.",0,nomatch(0.67)
rss-b4282a1dfd6d0df5,positive,positive,earning risk,earnings risk,Healthcare,Healthcare,Healthcare,1,"According to a market research study published by Healthcare Foresights, the demand analysis of Global Antidiabetic Drugs Market size & share revenue was valued at approximately USD 103.21 Billion in 2025 and is expected to reach USD 115.02 Billion in 2026 and is expected to reach around USD 309.84 Billion by 2035, at a CAGR of 11.62% between 2026 and 2035.","[220+ Pages Latest Report] According to a market research study published by Healthcare Foresights, the demand analysis of Global Antidiabetic Drugs Market size & share revenue was valued at approximately USD 103.21 Billion in 2025 and is expected to reach USD 115.02 Billion in 2026 and is expected to reach around USD 309.84 Billion by 2035, at a CAGR of 11.62% between 2026 and 2035.",1,containment
rss-a7ec140396ee5bf5,positive,positive,valuation risk,valuation risk,Real Estate,Real Estate,Real Estate,1,"Prologis, Inc. (NYSE:PLD) ranks among the best real estate and realty stocks to invest in according to hedge funds. On June 17, Raymond James renewed coverage of Prologis, Inc. (NYSE:PLD), rating the shares at Market Perform. Analyst David Rodgers mentioned the company's development into data centers as a growth catalyst in his assessment.",Analyst David Rodgers mentioned the company’s development into data centers as a growth catalyst in his assessment.,1,containment
rss-440848cf37335d0a,positive,positive,valuation risk,valuation risk,Consumer Staples,Consumer Staples,Consumer Discretionary,0,"Now, Bank of America is returning to the stock with a bullish view, arguing that the rise of AI shopping may not weaken Shopify’s role in online commerce.",In some ...,0,nomatch(0.09)
rss-2be915e532858e56,positive,positive,earning risk,earnings risk,Utilities,Utilities,Utilities,1,"Duke Energy DUK is entering one of the largest capital investment cycles in its history, positioning itself to benefit from rising electricity demand while maintaining relatively predictable cash flows.","DUK's $103B investment plan targets grid upgrades, new generation and rising power demand while supporting long-term earnings growth and dividends.",0,nomatch(0.41)
rss-cf70c31ae3f89e88,positive,positive,geopolitical risk,geopolitical risk,Industrials,Industrials,Industrials,1,The meeting of 32 nations to talk over national defense and shared goals can be a catalyst for defense stocks.,The meeting of 32 nations to talk over national defense and shared goals can be a catalyst for defense stocks.,1,containment
rss-e7ba1fdb7502893c,positive,positive,demand risk,demand risk,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,1,"Starbucks' recent rally reflects growing confidence in its turnaround strategy. The company posted its first year-over-year revenue and earnings growth in more than two years, raised the fiscal 2026 outlook and benefited from strong comparable sales, improving customer traffic, successful menu innovation and a stronger Starbucks Rewards program, reinforcing investor optimism.","SBUX is nearing its 52-week high as stronger traffic, loyalty growth and turnaround efforts keep investors focused on the next move.",0,nomatch(0.19)
rss-687591191a0ede64,neutral,neutral,geopolitical risk,geopolitical risk,Industrials,Industrials,Technology,0,"The Kremlin, meanwhile, said Sunday that Trump spoke with Putin for 90 minutes over the weekend, during which the U.S. president offered to help find a solution to the war.",Trump reportedly spoke with Putin and Zelenskyy as Ukraine struck Russian targets and Moscow launched another deadly attack on Kyiv.,0,nomatch(0.28)
rss-f92ea1a5871603c1,negative,negative,regulatory risk,regulatory risk,Healthcare,Healthcare,Healthcare,1,The Illinois Appellate Court upheld a $45 million talc verdict against Johnson & Johnson.,The company has recorded a 7.8% return over the past 30 days and...,0,nomatch(0.38)
rss-7260a791ac775fe2,positive,positive,none,none,Consumer Staples,Consumer Staples,Consumer Staples,1,"Shares of The Coca-Cola Company KO hit a new 52-week high of $81.14 yesterday. At close, the company's stock reflected a day's gain of 3.5%. KO's current rally stands out among its peers, including PepsiCo Inc. PEP, Keurig Dr Pepper Inc. KDP and Celsius Holdings, Inc.","KO hit a 52-week high as resilient demand, market share gains and strong execution fuel momentum, though its premium valuation remains stretched.",0,nomatch(0.31)
rss-3f87e1bd5512d0ba,neutral,neutral,none,none,Consumer Discretionary,Consumer Discretionary,Unmapped,0,"Autos
Ford CEO wants level playing field with Toyota, GM imports as USMCA trade talks reopen","last year – more than any other auto manufacturer, including 311,000 units for export.",0,nomatch(0.17)
rss-019c5d2b3b95bbf1,positive,positive,none,none,Communication Services,Communication Services,Communication Services,1,"On July 9, the bank added Meta to its US 1 List, an internal designation it reserves for its highest-conviction buy-rated ideas.","The company spent much of this year defending its decision to pour hundreds of billions of dollars into AI infrastructure, and investors who followed the Q1 earnings call on April 29 watched the stock drop another 6% to 7% after the company raised its ...",0,nomatch(0.04)
rss-fc7bcbccf59bd346,positive,positive,none,none,Real Estate,Real Estate,Real Estate,1,"The company has also continued expanding its footprint, improving lease quality and strengthening its balance sheet. With management raising its 2026 outlook and acquisition targets, there are several reasons investors may want to take a closer look at PSTL stock.","Postal Realty Trust's USPS-backed portfolio, stronger leases, acquisition growth and solid liquidity make the stock a compelling REIT to consider now.",0,nomatch(0.24)
rss-bcdb07ab8c38074b,negative,negative,none,none,Consumer Discretionary,Consumer Discretionary,Consumer Staples,0,"Now, one of the biggest names in beverages is moving forward with a long-planned plant closure.","A plant closure not only changes a company’s manufacturing map but also reshapes the local job picture in a single city, especially when the facility has operated as part of a larger food or beverage production network.",0,nomatch(0.07)
rss-4cba28efe236efb3,neutral,neutral,none,none,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,1,"While shoppers may get better deals on some items, it’s unlikely their overall grocery bill will fall.","While shoppers may get better deals on some items, it’s unlikely their overall grocery bill will fall.",1,containment
rss-65c759c07c2423e1,neutral,neutral,valuation risk,valuation risk,Industrials,Industrials,Industrials,1,"While media releases or rumors about a substantial change in a company's business prospects usually make its stock 'trending' and lead to an immediate price change, there are always some fundamental facts that eventually dominate the buy-and-hold decision-making.","Recently, Zacks.com users have been paying close attention to Boeing (BA).",0,nomatch(0.16)
rss-0893bf21b8983a2c,positive,positive,none,none,Communication Services,Communication Services,Unmapped,0,"The move “will benefit U.S. video consumers by creating a more robust competitive force in a video industry dominated by streaming services owned by large tech companies and programmers,” the companies said in a joint statement",DirecTV to acquire EchoStar’s video distribution business including Dish TV and Sling TV,0,nomatch(0.22)
rss-30d219c6d2db8a85,neutral,neutral,none,none,Financials,Financials,Utilities,0,"Advisor.com's free matching tool pairs you with vetted fiduciaries from major national firms, all in under three minutes.","The average federal student loan borrower leaves school owing roughly $38,000, though balances of $50,000 or more are common among graduate students and many private-college graduates.",0,nomatch(0.30)
rss-ff4ebb488b21ea5e,positive,positive,none,none,Consumer Discretionary,Consumer Discretionary,Consumer Staples,0,"Over two decades, the company has navigated supply chain disruptions, global tariffs, and the rapid rise of AI, growing at a 30%+ CAGR.","An early be As ecommerce grows more complex, Spreetail looks back on the milestones and investments that built one of the industry's most consequential operatorsLINCOLN, Neb., July 08, 2026 (GLOBE NEWSWIRE) -- Spreetail, the leading ecommerce marketplace accelerator, is celebrating a milestone moment: Marking 20 years of helping brands win on the world’s most competitive marketplaces.",0,nomatch(0.02)
rss-776f0cfadfd191eb,positive,positive,none,none,overall;,Unmapped,Communication Services,0,"Stock Market Today, July 10: Markets Edge Higher and SK Hynix Soars on Debut","On July 10, 2026, stock gained on renewed confidence as the S&P 500 edged back toward record highs.",0,nomatch(0.30)
rss-e353b44aff8f43b0,positive,positive,none,none,Technology,Technology,Technology,1,"Trump celebrates $250B Micron investment, says America is 'GETTING SHOVELS IN THE GROUND' - Fox Business","chipmaking investments CNBC Trump celebrates $250B Micron investment, says America is 'GETTING SHOVELS IN THE GROUND' Fox Business Micron CEO Sanjay Mehrotra Announces $250 Billion Investment for Expanded Artificial Intelligence (AI) Memory Chip Development Yahoo Finance From Promise to Progress: Governor Hochul Celebrates Major Milestone for Micron's $100 Billion Investment in Central New York Governor Kathy Hochul (.gov) Micron pours first concrete in Town of Clay, marking new milestone for semiconductor site WSTM Micron shares rise almost 5% after company announces billions more in U.S.",0,nomatch(0.29)
rss-f5520619182eecc8,negative,negative,demand risk,demand risk,energy,Energy,Financials,0,"Oil prices are tumbling everywhere as a peace deal between the US and Iran unleashes a wave of supply, overwhelming demand from buyers and prompting talk of a glut of crude.","(Bloomberg) -- Oil prices are tumbling everywhere as a peace deal between the US and Iran unleashes a wave of supply, overwhelming demand from buyers and prompting talk of a glut of crude.Most Read from BloombergWhy the Great American State Fair Looks So EmptyExxon to Change Name for First Time in Decades After RedomicileThe AI Trade Is Losing One of Its Key SignalsGermany Rejects Trump’s Demands for NATO Loyalty to WashingtonTrump Pardons Six People Pursued for ‘Fixing Their Car’It’s a staggeri.",1,containment
rss-ffdafb8b3a1f0826,positive,positive,none,none,Consumer Discretionary,Consumer Discretionary,Energy,0,"Ulta, a fast-growing retailer for more than 15 years, hit annual revenue of $12.4 billion last year, with revenue growth of 11% in the first quarter this year.",An Ulta executive says the four-story behemoth is critical to its growth in the U.S.,0,nomatch(0.37)
rss-0aab4fb0b95f245f,positive,positive,none,none,Financials,Financials,Real Estate,0,Income investors heading into July face a friendlier setup than they did just six weeks ago.,"The 10-year Treasury yield sits at 4%, down from a May peak of 5%, while the 2026 Social Security COLA came in at just 3%.",0,nomatch(0.17)
rss-e5b261a6ac66692c,positive,positive,none,none,Materials,Materials,Materials,1,This means that analyst sentiment is stronger and the stock's earnings outlook is improving.,(DOW) and Green Plains Renewable Energy (GPRE) have performed compared to their sector so far this year.,0,nomatch(0.09)
rss-1074a4b4ed8d3820,negative,negative,geopolitical risk,geopolitical risk,energy,Energy,Energy,1,"While Trump also mentioned that the recent flareup in the conflict did not mean a return to full-scale war, the mixed messaging nevertheless sank the S&P 500. However, the circumstance would seem to be a cynical catalyst for Chevron (CVX) stock.","A fracturing peace deal places the spotlight on the Strait of Hormuz, suggesting a cynical play on CVX stock.",0,nomatch(0.34)
rss-0a1013b1b0b40a48,positive,positive,none,none,Materials,Materials,Materials,1,"DOW's strong balance sheet and substantial cash flows support capital allocation, enabling it to finance its growth investments in higher-value businesses and regions and drive shareholder value while navigating a challenging macroeconomic environment.",DOW's strong liquidity and cash flow support growth investments and shareholder returns as rising EPS estimates add to the outlook.,0,nomatch(0.47)
rss-03c69724a73231f0,neutral,neutral,none,none,Multiple,,Healthcare,,"Keeping that in mind, here is one stock with the fundamentals to back up its performance and two not so much.","These elevated prices usually indicate some degree of investor confidence, business improvements, or favorable market conditions.",0,nomatch(0.25)
rss-17f875b1307a612a,positive,positive,none,none,Industrials,Industrials,Financials,0,GE Aerospace stock has rebounded nicely from a post-Iran war slump.,GE Aerospace stock has rebounded nicely from a post-Iran war slump.,1,containment
rss-a3f423fb0458dd68,negative,negative,earning risk,earnings risk,Industrials,Industrials,Industrials,1,"A number of stocks fell in the afternoon session after President Trump declared the Iran ceasefire ""over"" and threatened fresh strikes, pressuring the commercial-aviation supply chain as oil prices surged.","A number of stocks fell in the afternoon session after President Trump declared the Iran ceasefire ""over"" and threatened fresh strikes, pressuring the commercial-aviation supply chain as oil prices surged.",1,containment
rss-968929097be288f3,neutal,neutral,none,none,technology,Technology,Financials,0,SK Hynix Said to Guide US Offering Price 3.1% Above Korea Close,"is telling investors it intends to price its US listing at $149 per American depositary receipt, according to people familiar with the matter, despite recent volatility in the Korean memory chipmaker’s shares.Most Read from BloombergMicrosoft’s Xbox to Shift Obsidian Studio to New ‘Fallout’ Video GameNvidia’s $1 Trillion Slide Sends Valuation to Pre-AI Boom LevelsTrump Vents Anger With Iran and Warns Ceasefire May Be ‘Over’US Military Launches Strikes on Iran for Sec.",0,nomatch(0.02)
rss-f77e797f14980851,positive,positive,valuation risk;geopolitical risk,valuation risk;geopolitical risk,energy,Energy,Energy,1,"Uncover how ConocoPhillips' forecasts yield a $143.72 fair value, a 33% upside to its current price.","Over the same period, ConocoPhillips was added to the Russell 1000 Defensive and Russell 1000 Value-Defensive indexes, while conflict-related disruptions near the Strait of Hormuz pushed...",0,nomatch(0.39)
rss-ddc07b7f6bef8402,negative,negative,interest rate risk;earnings risk,interest rate risk;earnings risk,Utilities,Utilities,Utilities,1,"Duke reduces rate hike request, still faces regulator pushback","The utility dropped its proposed residential rate increase to 11.6% from 18% after pushback, but hearings this week highlighted continued unease.",0,nomatch(0.31)
rss-ec66dd79c63fb2dd,negative,negative,earning risk,earnings risk,Consumer Discretionary,Consumer Discretionary,Unmapped,0,"Lululemon cuts annual outlook, citing ‘negative’ media commentary and disappointing product launches","Lululemon is expecting its situation to get a lot worse before it gets better, as it issued weak guidance for the full year.",0,nomatch(0.29)
rss-60bde3a70beb3802,positive,positive,none,none,Communication Services,Communication Services,Communication Services,1,"Space Exploration Technologies Corp. SPCX gives investors exposure to reusable launch, satellite broadband and AI infrastructure in one public stock. That mix makes the company visible as markets look for durable growth themes.","SPCX combines reusable launch, satellite broadband and AI infrastructure, but returns hinge on execution, monetization and regulatory progress.",0,nomatch(0.43)
rss-ee49d8bc8234cdae,positive,positive,none,none,technology,Technology,Technology,1,"Management expects that growth to accelerate, guiding for AI semiconductor revenue to reach $16 billion in the next quarter, up over 200% from a year ago.","A semiconductor giant has fallen back to a price floor that has held firm four times before, forcing investors to decide if its explosive new growth is strong enough to support it again.",0,nomatch(0.25)
rss-d81981f29dc96cb6,negative,negative,regulatory risk,regulatory risk,Financials,Financials,Materials,0,"CFTC is conducting an investigation into Polymarket, source says",The probe comes after the Commodity Futures Trading Commission and the Department of Justice dropped previous inquiries into Polymarket last July.,0,nomatch(0.37)
rss-cf9c56d0f76cd484,positive,positive,none,none,Healthcare,Healthcare,Healthcare,1,"Humana's 2026 EPS guidance collapsed 47% and Elevance posted a benefit-ratio-driven segment loss, leaving UNH's 83.9% MCR in a different competitive league.","Shares of UNH last traded around $430.72 on July 9, sitting on a more than 28% year-to-date gain and a more than 42% one-year return.",0,nomatch(0.24)
rss-9224e15411c7f0ca,neutral,neutral,none,none,Real Estate,Real Estate,Real Estate,1,Simon will host its quarterly earnings conference call and an audio webcast on August 10 from 5:00 p.m. to 6:00 p.m. Eastern Daylight Time.,"Simon®, a real estate investment trust engaged in the ownership of premier shopping, dining, entertainment and mixed-use destinations, today announced details for its second quarter earnings release and conference call.",0,nomatch(0.17)
rss-8b685849d94d65ec,positive,positive,none,none,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,1,"For consumer-facing companies, that is the bigger point. Regional food culture can create demand well beyond restaurants. It can support equipment makers, retailers, service businesses, specialist suppliers, and premium backyard spending.","Discover the 135 best locally owned BBQ supply stores in America, ranked from a survey of 3,009 consumers, plus insights into grilling trends and BBQ spending.",0,nomatch(0.18)
rss-ec0e5168dfb50951,neutral,neutral,none,none,Utilities,Utilities,Utilities,1,"NextEra Energy (
NEE
0.62%
) and Duke Energy (
DUK
0.84%
) are two of the largest utilities in the U.S. While one recently sold a business, the other is poised to make a historic growth move.","Duke Energy maintains consistently higher sales, while NextEra Energy's revenue shows sharper seasonal swings across recent quarters.",0,nomatch(0.24)
rss-466cc9a6d08b7508,positive,positive,none,none,Consumer Discretionary;Industrials,Consumer Discretionary;Industrials,Industrials,1,3M joins Cadillac Formula 1® Team as Official Material Science Partner to accelerate racing performance,"The Cadillac Formula 1® Team and 3M today announced a multi-year global partnership to push the limits of innovation in the world's toughest laboratory, Formula 1®.",0,nomatch(0.45)
rss-32592d4f5193c9d2,positive,positive,none,none,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,1,Fast-food chains are increasingly betting on specialty drinks to drive customer visits outside of traditional meal times.,Everyone from coffee chains to fast-food giants are boosting drinks menus to bring in more customers.,0,nomatch(0.43)
rss-4868ed0472d1f495,positive,positive,none,none,Technology,Technology,Technology,1,Mark Zuckerberg Is Turning Meta Into a Bigger Chipmaker. Its Newest In-House AI Chip Enters Production in September.,Mark Zuckerberg Is Turning Meta Into a Bigger Chipmaker.,1,containment
rss-2971046c8536b4c5,neutral,neutral,none,none,healthcare,Healthcare,Healthcare,1,"JNJ Stock Management Sees A Breakout, The Market Sees A Standoff","The healthcare giant raised its outlook for the year, yet the market is holding back its reward, creating a tense waiting game for investors.",0,nomatch(0.36)
