article_id,stratum_sector,stratum_sentiment,predicted_sentiment_finbert,predicted_sector,predicted_risk_categories,predicted_evidence_sentence,finbert_confidence,p_positive,p_neutral,p_negative
rss-edab0a9c007e76c0,Energy,negative,negative,Energy,geopolitical risk,"Iran may face challenges in clearing oil inventories even after restrictions have been lifted, amid oil supplies elsewhere while China becomes less enthusiastic Iran may face challenges in clearing oil inventories even after restrictions have been lifted, amid oil supplies elsewhere while China becomes less enthusiastic",0.75,0.076,0.174,0.75
rss-2b8df568f1ad6452,Materials,positive,positive,Materials,earnings risk;valuation risk,"Over five years, a 78% total return suggests Freeport-McMoRan has already rewarded long term holders.",0.554,0.554,0.419,0.027
rss-95d3fe25d2d64402,Healthcare,positive,positive,Healthcare,valuation risk,BBIO builds on Attruby's launch as rising rare disease diagnoses and late-stage pipeline candidates set up multiple potential U.S.,0.48,0.48,0.472,0.048
rss-419bbe3939417fb9,Financials,positive,positive,Financials,,"ELITE CAPITAL MARKETS PARTNERS TO JOIN LATHAM & WATKINS, FURTHER EXPANDING FIRM'S MARKET LEADERSHIP PR Newswire ELITE CAPITAL MARKETS PARTNERS TO JOIN LATHAM & WATKINS, FURTHER EXPANDING FIRM'S MARKET LEADERSHIP PR Newswire",0.835,0.835,0.153,0.012
rss-d04d5ba9689413d5,Industrials,negative,negative,Industrials,,"Yahoo Finance Markets and Data Editor Jared Blikre takes a closer look at the memory chip trade — particularly the intraday performances of Micron Technology (MU), SK Hynix (000660.KS), and Samsung (005930.KS) — as these three big names have seemingly dragged the sector into a bear market.",0.891,0.021,0.088,0.891
rss-930d5f12a30637cc,Financials,neutral,neutral,Financials,valuation risk,"Much of the recent commentary links these changes to earlier than expected completion of the BROADEN2 trial, a pulled forward KT-621 readout, and fresh views on how much of that opportunity belongs in Kymera Therapeutics' valuation today.",0.514,0.469,0.514,0.017
rss-7c8555a67bc42f6b,Energy,neutral,neutral,Energy,,"Energy stocks were advancing pre-bell Wednesday, with the State Street Energy Select Sector SPDR ETF Energy stocks were advancing pre-bell Wednesday, with the State Street Energy Select Sector SPDR ETF",0.706,0.235,0.706,0.06
rss-66e80b93b45a4aa0,Utilities,negative,negative,Utilities,,"Energy stocks were lower late Monday afternoon, with the NYSE Energy Sector Index decreasing 0.2% an Energy stocks were lower late Monday afternoon, with the NYSE Energy Sector Index decreasing 0.2% an",0.974,0.009,0.017,0.974
rss-1513f7e73c2ca9b1,Unmapped,negative,negative,Unmapped,,"Beshear as Senate vacancy questions grow McConnell, the former longtime Senate leader who declined to seek an eighth term following a series of health scares, was admitted to a hospital on June 14.",0.775,0.027,0.198,0.775
rss-d0b80d534778c0b5,Communication Services,neutral,neutral,Communication Services,,"These stocks offer high yields, are big names in their respective sectors, and have strong fundamentals.",0.633,0.348,0.633,0.019
rss-78fe4768e1d8d722,Technology,negative,negative,Technology,,Nvidia has lost roughly a trillion dollars in market value in less than two months.,0.358,0.336,0.306,0.358
rss-7a76cd4847965c2c,Materials,negative,negative,Materials,,"Freeport-McMoRan (FCX) closed at $60.53 in the latest trading session, marking a -3.75% move from the prior day.",0.507,0.478,0.015,0.507
rss-b4282a1dfd6d0df5,Healthcare,neutral,neutral,Healthcare,,"[220+ Pages Latest Report] According to a market research study published by Healthcare Foresights, the demand analysis of Global Antidiabetic Drugs Market size & share revenue was valued at approximately USD 103.21 Billion in 2025 and is expected to reach USD 115.02 Billion in 2026 and is expected to reach around USD 309.84 Billion by 2035, at a CAGR of 11.62% between 2026 and 2035.",0.834,0.153,0.834,0.012
rss-a7ec140396ee5bf5,Real Estate,neutral,neutral,Real Estate,,Analyst David Rodgers mentioned the company’s development into data centers as a growth catalyst in his assessment.,0.524,0.457,0.524,0.019
rss-440848cf37335d0a,Consumer Discretionary,neutral,neutral,Consumer Discretionary,,In some ...,0.889,0.075,0.889,0.036
rss-2be915e532858e56,Utilities,positive,positive,Utilities,,"DUK's $103B investment plan targets grid upgrades, new generation and rising power demand while supporting long-term earnings growth and dividends.",0.818,0.818,0.173,0.008
rss-cf70c31ae3f89e88,Industrials,positive,positive,Industrials,,The meeting of 32 nations to talk over national defense and shared goals can be a catalyst for defense stocks.,0.604,0.604,0.381,0.015
rss-e7ba1fdb7502893c,Consumer Discretionary,positive,positive,Consumer Discretionary,valuation risk;demand risk,"SBUX is nearing its 52-week high as stronger traffic, loyalty growth and turnaround efforts keep investors focused on the next move.",0.917,0.917,0.061,0.022
rss-687591191a0ede64,Technology,neutral,neutral,Technology,,Trump reportedly spoke with Putin and Zelenskyy as Ukraine struck Russian targets and Moscow launched another deadly attack on Kyiv.,0.449,0.123,0.449,0.428
rss-f92ea1a5871603c1,Healthcare,negative,negative,Healthcare,,The company has recorded a 7.8% return over the past 30 days and...,0.357,0.298,0.345,0.357
rss-7260a791ac775fe2,Consumer Staples,positive,positive,Consumer Staples,earnings risk;valuation risk,"KO hit a 52-week high as resilient demand, market share gains and strong execution fuel momentum, though its premium valuation remains stretched.",0.677,0.677,0.281,0.042
rss-3f87e1bd5512d0ba,Unmapped,positive,positive,Unmapped,,"last year – more than any other auto manufacturer, including 311,000 units for export.",0.578,0.578,0.406,0.015
rss-019c5d2b3b95bbf1,Communication Services,negative,negative,Communication Services,,"The company spent much of this year defending its decision to pour hundreds of billions of dollars into AI infrastructure, and investors who followed the Q1 earnings call on April 29 watched the stock drop another 6% to 7% after the company raised its ...",0.973,0.007,0.02,0.973
rss-fc7bcbccf59bd346,Real Estate,positive,positive,Real Estate,liquidity risk,"Postal Realty Trust's USPS-backed portfolio, stronger leases, acquisition growth and solid liquidity make the stock a compelling REIT to consider now.",0.816,0.816,0.176,0.008
rss-bcdb07ab8c38074b,Consumer Staples,negative,negative,Consumer Staples,,"A plant closure not only changes a company’s manufacturing map but also reshapes the local job picture in a single city, especially when the facility has operated as part of a larger food or beverage production network.",0.867,0.061,0.072,0.867
rss-4cba28efe236efb3,Consumer Discretionary,negative,negative,Consumer Discretionary,,"While shoppers may get better deals on some items, it’s unlikely their overall grocery bill will fall.",0.95,0.034,0.016,0.95
rss-65c759c07c2423e1,Industrials,neutral,neutral,Industrials,,"Recently, Zacks.com users have been paying close attention to Boeing (BA).",0.851,0.138,0.851,0.012
rss-0893bf21b8983a2c,Unmapped,neutral,neutral,Unmapped,,DirecTV to acquire EchoStar’s video distribution business including Dish TV and Sling TV,0.908,0.082,0.908,0.01
rss-30d219c6d2db8a85,Utilities,neutral,neutral,Utilities,,"The average federal student loan borrower leaves school owing roughly $38,000, though balances of $50,000 or more are common among graduate students and many private-college graduates.",0.795,0.032,0.795,0.173
rss-ff4ebb488b21ea5e,Consumer Staples,neutral,neutral,Consumer Staples,,"An early be As ecommerce grows more complex, Spreetail looks back on the milestones and investments that built one of the industry's most consequential operatorsLINCOLN, Neb., July 08, 2026 (GLOBE NEWSWIRE) -- Spreetail, the leading ecommerce marketplace accelerator, is celebrating a milestone moment: Marking 20 years of helping brands win on the world’s most competitive marketplaces.",0.547,0.405,0.547,0.047
rss-776f0cfadfd191eb,Communication Services,positive,positive,Communication Services,,"On July 10, 2026, stock gained on renewed confidence as the S&P 500 edged back toward record highs.",0.947,0.947,0.027,0.026
rss-e353b44aff8f43b0,Technology,positive,positive,Technology,,"chipmaking investments CNBC Trump celebrates $250B Micron investment, says America is 'GETTING SHOVELS IN THE GROUND' Fox Business Micron CEO Sanjay Mehrotra Announces $250 Billion Investment for Expanded Artificial Intelligence (AI) Memory Chip Development Yahoo Finance From Promise to Progress: Governor Hochul Celebrates Major Milestone for Micron's $100 Billion Investment in Central New York Governor Kathy Hochul (.gov) Micron pours first concrete in Town of Clay, marking new milestone for semiconductor site WSTM Micron shares rise almost 5% after company announces billions more in U.S.",0.587,0.587,0.391,0.022
rss-f5520619182eecc8,Financials,negative,negative,Financials,commodity risk,"(Bloomberg) -- Oil prices are tumbling everywhere as a peace deal between the US and Iran unleashes a wave of supply, overwhelming demand from buyers and prompting talk of a glut of crude.Most Read from BloombergWhy the Great American State Fair Looks So EmptyExxon to Change Name for First Time in Decades After RedomicileThe AI Trade Is Losing One of Its Key SignalsGermany Rejects Trump’s Demands for NATO Loyalty to WashingtonTrump Pardons Six People Pursued for ‘Fixing Their Car’It’s a staggeri.",0.803,0.046,0.151,0.803
rss-ffdafb8b3a1f0826,Energy,positive,positive,Energy,,An Ulta executive says the four-story behemoth is critical to its growth in the U.S.,0.493,0.493,0.493,0.014
rss-0aab4fb0b95f245f,Real Estate,negative,negative,Real Estate,interest rate risk,"The 10-year Treasury yield sits at 4%, down from a May peak of 5%, while the 2026 Social Security COLA came in at just 3%.",0.496,0.405,0.099,0.496
rss-e5b261a6ac66692c,Materials,neutral,neutral,Materials,,(DOW) and Green Plains Renewable Energy (GPRE) have performed compared to their sector so far this year.,0.401,0.398,0.401,0.201
rss-1074a4b4ed8d3820,Energy,negative,negative,Energy,,"A fracturing peace deal places the spotlight on the Strait of Hormuz, suggesting a cynical play on CVX stock.",0.783,0.059,0.158,0.783
rss-0a1013b1b0b40a48,Materials,positive,positive,Materials,liquidity risk,DOW's strong liquidity and cash flow support growth investments and shareholder returns as rising EPS estimates add to the outlook.,0.863,0.863,0.114,0.023
rss-03c69724a73231f0,Healthcare,positive,positive,Healthcare,,"These elevated prices usually indicate some degree of investor confidence, business improvements, or favorable market conditions.",0.552,0.552,0.405,0.042
rss-17f875b1307a612a,Financials,positive,positive,Financials,,GE Aerospace stock has rebounded nicely from a post-Iran war slump.,0.947,0.947,0.029,0.024
rss-a3f423fb0458dd68,Industrials,negative,negative,Industrials,,"A number of stocks fell in the afternoon session after President Trump declared the Iran ceasefire ""over"" and threatened fresh strikes, pressuring the commercial-aviation supply chain as oil prices surged.",0.972,0.008,0.02,0.972
rss-968929097be288f3,Financials,neutral,neutral,Financials,valuation risk,"is telling investors it intends to price its US listing at $149 per American depositary receipt, according to people familiar with the matter, despite recent volatility in the Korean memory chipmaker’s shares.Most Read from BloombergMicrosoft’s Xbox to Shift Obsidian Studio to New ‘Fallout’ Video GameNvidia’s $1 Trillion Slide Sends Valuation to Pre-AI Boom LevelsTrump Vents Anger With Iran and Warns Ceasefire May Be ‘Over’US Military Launches Strikes on Iran for Sec.",0.541,0.1,0.541,0.359
rss-f77e797f14980851,Energy,neutral,neutral,Energy,,"Over the same period, ConocoPhillips was added to the Russell 1000 Defensive and Russell 1000 Value-Defensive indexes, while conflict-related disruptions near the Strait of Hormuz pushed...",0.581,0.39,0.581,0.028
rss-ddc07b7f6bef8402,Utilities,negative,negative,Utilities,,"The utility dropped its proposed residential rate increase to 11.6% from 18% after pushback, but hearings this week highlighted continued unease.",0.617,0.315,0.068,0.617
rss-ec66dd79c63fb2dd,Unmapped,negative,negative,Unmapped,earnings risk,"Lululemon is expecting its situation to get a lot worse before it gets better, as it issued weak guidance for the full year.",0.972,0.011,0.018,0.972
rss-60bde3a70beb3802,Communication Services,neutral,neutral,Communication Services,regulatory risk;earnings risk,"SPCX combines reusable launch, satellite broadband and AI infrastructure, but returns hinge on execution, monetization and regulatory progress.",0.688,0.227,0.688,0.085
rss-ee49d8bc8234cdae,Technology,negative,negative,Technology,,"A semiconductor giant has fallen back to a price floor that has held firm four times before, forcing investors to decide if its explosive new growth is strong enough to support it again.",0.965,0.012,0.023,0.965
rss-d81981f29dc96cb6,Materials,negative,negative,Materials,commodity risk,The probe comes after the Commodity Futures Trading Commission and the Department of Justice dropped previous inquiries into Polymarket last July.,0.538,0.027,0.435,0.538
rss-cf9c56d0f76cd484,Healthcare,neutral,neutral,Healthcare,,"Shares of UNH last traded around $430.72 on July 9, sitting on a more than 28% year-to-date gain and a more than 42% one-year return.",0.579,0.402,0.579,0.019
rss-9224e15411c7f0ca,Real Estate,neutral,neutral,Real Estate,,"Simon®, a real estate investment trust engaged in the ownership of premier shopping, dining, entertainment and mixed-use destinations, today announced details for its second quarter earnings release and conference call.",0.949,0.028,0.949,0.022
rss-8b685849d94d65ec,Consumer Discretionary,neutral,neutral,Consumer Discretionary,,"Discover the 135 best locally owned BBQ supply stores in America, ranked from a survey of 3,009 consumers, plus insights into grilling trends and BBQ spending.",0.692,0.297,0.692,0.011
rss-ec0e5168dfb50951,Utilities,positive,positive,Utilities,,"Duke Energy maintains consistently higher sales, while NextEra Energy's revenue shows sharper seasonal swings across recent quarters.",0.386,0.386,0.304,0.31
rss-466cc9a6d08b7508,Industrials,positive,positive,Industrials,,"The Cadillac Formula 1® Team and 3M today announced a multi-year global partnership to push the limits of innovation in the world's toughest laboratory, Formula 1®.",0.761,0.761,0.23,0.009
rss-32592d4f5193c9d2,Consumer Discretionary,positive,positive,Consumer Discretionary,,Everyone from coffee chains to fast-food giants are boosting drinks menus to bring in more customers.,0.81,0.81,0.177,0.013
rss-4868ed0472d1f495,Technology,neutral,neutral,Technology,,Mark Zuckerberg Is Turning Meta Into a Bigger Chipmaker.,0.657,0.324,0.657,0.019
rss-2971046c8536b4c5,Healthcare,negative,negative,Healthcare,,"The healthcare giant raised its outlook for the year, yet the market is holding back its reward, creating a tense waiting game for investors.",0.956,0.01,0.034,0.956
rss-e47d8b1e5e0cc270,Consumer Staples,positive,positive,Consumer Staples,,"Excluding impacts from gas and foreign exchange, same-store sales rose 4.9% in Canada and 5.6% in the dozen or so other countries where Costco has warehouses.",0.617,0.617,0.096,0.287
rss-242555905fc8eacd,Unmapped,positive,positive,Unmapped,,Nobel economics prize awarded to three who studied wealth of nations,0.546,0.546,0.434,0.02
rss-307392f97ce962bf,Communication Services,negative,negative,Communication Services,earnings risk;valuation risk,"Netflix stock has pulled back sharply over the past year, yet both its Discounted Cash Flow (DCF) intrinsic value estimate and market multiples still point to a potential valuation gap that the recent share price weakness has not fully closed.",0.637,0.335,0.027,0.637
rss-6a45d3e9a0d49b4e,Real Estate,positive,positive,Real Estate,valuation risk,"On June 18, Scotiabank reduced its price objective for Realty Income Corporation (NYSE:O) to $67 from $72, maintaining an Outperform rating on the stock.",0.524,0.524,0.071,0.405
rss-97b0e123ed1c579a,Consumer Staples,negative,negative,Consumer Staples,earnings risk,"Still, because the company only met profit expectations and reaffirmed its full-year guidance rather than raising it, the stock pulled back following its May 29 report.",0.945,0.011,0.045,0.945
rss-d91a44d67b134a71,Consumer Discretionary,negative,negative,Consumer Discretionary,,"The Home Depot, Inc.",0.408,0.276,0.316,0.408
rss-3651b8824f8a2712,Industrials,neutral,neutral,Industrials,,"Facing rapidly aging fleets, operators are incurring higher maintenance bills.",0.518,0.069,0.518,0.412
rss-52122551aa08ea80,Unmapped,neutral,neutral,Unmapped,,Office temperatures are typically set in the low 70s during summer.,0.788,0.048,0.788,0.163
rss-26ed6a2bfb4ea9a6,Utilities,neutral,neutral,Utilities,regulatory risk,Maryland state agencies asked the Federal Energy Regulatory Commission to end an extra 0.5% return the transmission owners earn for being PJM Interconnection members.,0.49,0.063,0.49,0.448
rss-1b9a44d2bff671cd,Consumer Staples,neutral,neutral,Consumer Staples,interest rate risk,"Replacing $1,500 a month in portfolio income looks simple until yield enters the equation.",0.57,0.045,0.57,0.385
rss-f0cb95e0a00d7104,Communication Services,positive,positive,Communication Services,,Investors are bullish on Meta’s new low-cost AI pricing and infrastructure plans.,0.924,0.924,0.055,0.021
rss-0598c05e3bf7b085,Technology,positive,positive,Technology,,"SK Hynix just shattered a decades-old US listing record, and Bloomberg's desk thinks it signals something much bigger than one blockbuster IPO for the companies already supplying the AI buildout.",0.739,0.739,0.246,0.015
rss-eda7131849c012b7,Financials,negative,negative,Financials,,"Then, in early July, Bank of America (NYSE:BAC) warned the market could suffer a “snapback” ...",0.563,0.181,0.256,0.563
rss-4836ac1918c70465,Energy,positive,positive,Energy,,"Energy stocks were higher Thursday afternoon, with the NYSE Energy Sector Index rising 0.9% and the Energy stocks were higher Thursday afternoon, with the NYSE Energy Sector Index rising 0.9% and the",0.949,0.949,0.028,0.023
rss-e218eb3abcb175df,Real Estate,negative,negative,Real Estate,,"Pre-Market Stock Futures: Futures are trading lower as we get ready to start the third quarter after a record-setting second quarter that saw the Dow Jones Industrial Average close at 52,317, up 0.26% to finish the venerable index’s best first half since 2021, while the Nasdaq finished the session at 26,213, up 1.52% for the ...",0.658,0.022,0.32,0.658
rss-51ce10a1976957cf,Materials,neutral,neutral,Materials,,"And right now, there’s one question on every investor’s tongue as a new wave of trillion-dollar tech IPOs hits the public markets.",0.863,0.069,0.863,0.069
rss-9a123fedb5187ddd,Energy,negative,negative,Energy,commodity risk,"(Updates with economic data, recent oil price movement, world markets' overview and corporate stock.",0.943,0.012,0.044,0.943
rss-bd62f6c490cd5201,Materials,positive,positive,Materials,,"The consumer price index was expected to show a 4.2% gain from a year ago, according to the Dow Jones consensus estimate.",0.948,0.948,0.026,0.026
rss-e4bed041f9cbb052,Healthcare,positive,positive,Healthcare,,"Elevance Health's disciplined capital allocation, strong cash generation and continued investments in Carelon and AI support long-term growth while rewarding shareholders.",0.729,0.729,0.26,0.011
rss-466f8d26d106b272,Financials,positive,positive,Financials,,"Financial stocks were higher in Friday afternoon trading, with the NYSE Financial Index rising 0.4% Financial stocks were higher in Friday afternoon trading, with the NYSE Financial Index rising 0.4%",0.947,0.947,0.026,0.027
rss-1c382580f9b2b849,Industrials,negative,negative,Industrials,,A Wall Street downgrade of Siemens Energy has sparked a sell of in shares of power generation equipment providers.,0.96,0.015,0.026,0.96
rss-dc5e4429497e5440,Financials,neutral,neutral,Financials,,"Her pitch is that cyclicals are cheap, capex is accelerating, and the boring stuff has ...",0.804,0.089,0.804,0.107
rss-5e0d0bd29ad0c69c,Energy,neutral,neutral,Energy,interest rate risk,"With an annual dividend yield of 4.21%, Chevron Corporation (NYSE:CVX) is included among the 14 Best Blue Chip Dividend Stocks to Buy According to Hedge Funds.",0.834,0.133,0.834,0.033
rss-f1c2ed323e06e6fe,Utilities,negative,negative,Utilities,,stock futures and bond yields drop on reports Putin has updated nuclear doctrine,0.571,0.037,0.392,0.571
rss-55312dcebd8ec9bb,Unmapped,negative,negative,Unmapped,,productivity slows down in fourth quarter while unit labor costs accelerate,0.582,0.035,0.382,0.582
rss-8ea0f88056fb990c,Communication Services,neutral,neutral,Communication Services,valuation risk,"Space is the hot new sector on Wall Street, and market optimism has sent Jeff Bezos’ Blue Origin valuation to the moon.",0.765,0.189,0.765,0.046
rss-ca0d208665dd4e81,Technology,negative,negative,Technology,,"Experts warn its decline among Americans, especially Gen Z, could have lasting consequences.",0.649,0.02,0.332,0.649
rss-0c102922f137be6b,Materials,negative,negative,Materials,,European equities traded in the US as American depositary receipts were tracking sharply lower late European equities traded in the US as American depositary receipts were tracking sharply lower late,0.963,0.026,0.012,0.963
rss-045f9d58596724ad,Healthcare,neutral,neutral,Healthcare,,"UnitedHealth launches a Lifestyle Spending Account through UHC Store, expanding flexible wellness benefits and simplifying employer administration with digital integration.",0.601,0.387,0.601,0.012
rss-81955c71a2012829,Real Estate,neutral,neutral,Real Estate,interest rate risk,"With an annual dividend yield of 4.06%, Simon Property Group, Inc.",0.835,0.146,0.835,0.019
rss-d85fc967b194cac4,Consumer Discretionary,neutral,neutral,Consumer Discretionary,,"Management is all-in on a new growth story through acquisition, but the silence around its massive, slowing retail business is what investors need to hear.",0.492,0.035,0.492,0.473
rss-22fdfdd4d38b2175,Utilities,positive,positive,Utilities,,"A Duke Energy subsidiary paid $155 million for the lease in 2022, saying it could support up to 1.6 GW of capacity.",0.799,0.799,0.193,0.008
rss-a44ec294a4b1cc82,Industrials,positive,positive,Industrials,,"AST SpaceMobile clinches major telecom partnerships while Boeing posts a return to profitability, two sharply contrasting paths for tech-focused investors.",0.465,0.465,0.456,0.079
rss-a77c2f593f1798f5,Consumer Discretionary,positive,positive,Consumer Discretionary,,Nike is making progress -- except in one large and important market.,0.747,0.747,0.241,0.012
rss-6a90e376c263d4f9,Technology,neutral,neutral,Technology,,"That’s exactly where 53-year-old Melissa says she found herself after discovering her husband, David, had secretly rewritten their financial...",0.827,0.031,0.827,0.142
rss-72e132142c36701e,Healthcare,negative,negative,Healthcare,,"The puts are out-of-the-money (OTM), implying that some investors believe JNJ could tank.",0.89,0.053,0.057,0.89
rss-729be2f8c2514d1c,Consumer Staples,positive,positive,Consumer Staples,,"Completion of the executive commercial organization strengthens the Company's vertically integrated beverage and wellness commercialization platform while accelerating national retail expansion, market penetration, distributor development, and commercialization of the GUTSI™ portfolioSenior leadership team brings more than 100 years of combined beverage industry experience from Coca-Cola, Pepsi, Snapple, Dr Pepper, VOSS Water, BODYARMOR, RedCon1 and other leading beverage organizations to suppor Completion of the executive commercial organization strengthens the Company's vertically integrated beverage and wellness commercialization platform while accelerating national retail expansion, market penetration, distributor development, and commercialization of the GUTSI™ portfolioSenior leadership team brings more than 100 years of combined beverage industry experience from Coca-Cola, Pepsi, Snapple, Dr Pepper, VOSS Water, BODYARMOR, RedCon1 and other leading beverage organizations to suppor",0.899,0.899,0.093,0.008
rss-60d3fbfd9d897476,Unmapped,positive,positive,Unmapped,,The deal for Full Swing will expand Versant's nontraditional media assets in an effort to diversify revenue from cable television.,0.906,0.906,0.086,0.008
rss-569f392d1323ecdb,Communication Services,negative,negative,Communication Services,,"Despite a fantastic 711% trailing-10-year return, Netflix shares are currently 45% off their peak.",0.523,0.207,0.27,0.523
rss-1692efcfeec9c763,Real Estate,positive,positive,Real Estate,,"AVRE hits a new 52-week high after climbing 12.7% from its low, with momentum supported by strong top holdings and a positive weighted alpha.",0.952,0.952,0.026,0.022
rss-7c3d14a7fcfbd68c,Consumer Staples,negative,negative,Consumer Staples,,Because It Had ‘Little Room for Error’ Costco shares fell on Thursday after the retailer’s June sales fell slightly short of Wall Street’s high expectations.,0.911,0.011,0.078,0.911
rss-43380b5a247aedee,Consumer Discretionary,negative,negative,Consumer Discretionary,,"While Tesla is just beginning to experience the civil fallout from the fatal crash in a Houston, Texas, suburb last month, the driver of the vehicle is now facing legal consequences for his role.",0.513,0.035,0.452,0.513
rss-346822802e1355a6,Industrials,neutral,neutral,Industrials,,"On June 10, Caterpillar said its board raised the quarterly dividend by 12 cents, or 8%, to $1.63 per share, payable August 19 to shareholders of record at the close of business on July […]",0.553,0.417,0.553,0.03
rss-46c7f8a34229f90b,Unmapped,neutral,neutral,Unmapped,,"US activist investors must disclose clients in filings, SEC says",0.844,0.021,0.844,0.134
rss-02428244c514ed48,Utilities,neutral,neutral,Utilities,,"Thanks to a certain level of stationarity in the overriding business ecosystem, NEE stock may be a quant trader’s dream.",0.768,0.222,0.768,0.009
rss-4a90ed44a6163778,Consumer Staples,neutral,neutral,Consumer Staples,,"Xbox CEO Asha Sharma Will Lead Productivity & Jobs Task Force for US Federal Reserve After Laying Off 3,200 People 80 Level Fed Chairman Warsh names members of monetary policy task forces CNN Fed Names VC Marc Andreessen, Ex-Walmart CEO Doug McMillon to Warsh’s Task Forces WSJ CEO under fire for mass layoffs amid foreign worker hiring spree now appointed to Fed's task force on jobs Fox News Fed task forces are led by outsiders with chops Axios.",0.494,0.02,0.494,0.486
rss-f02c6e093cc6cd40,Communication Services,positive,positive,Communication Services,,New AI Model Puts SpaceX Back In Race Vs.,0.852,0.852,0.103,0.045
