article_id,title,summary,content,url,published_at,label_sentiment,label_sector,label_sector_ok,label_risk_categories,label_evidence_ok,notes
rss-d0b80d534778c0b5,Pfizer vs Verizon Communications: Which High-Yielding Dividend Stock Is the Better Buy?,"These stocks offer high yields, are big names in their respective sectors, and have strong fundamentals.","These stocks offer high yields, are big names in their respective sectors, and have strong fundamentals.",????,2026-07-01T14:20:00+00:00,positive,Communication Services;Health Care,,earning risk,"Below, I'll compare a couple of top dividend stocks: Pfizer (PFE+1.27%) and Verizon Communications (VZ+2.37%). ",
rss-78fe4768e1d8d722,Bank of America's unmistakable signal to Nvidia stock investors,"Nvidia has lost roughly a trillion dollars in market value in less than two months. Although the semiconductor index has nearly doubled year to date, Nvidia is up only about 4%. For the company that makes most of the chips that power the AI revolution, that kind of lag has investors asking what is ...","Nvidia has lost roughly a trillion dollars in market value in less than two months. Although the semiconductor index has nearly doubled year to date, Nvidia is up only about 4%. For the company that makes most of the chips that power the AI revolution, that kind of lag has investors asking what is ...",????,2026-07-09T17:33:00+00:00,negative,Technology,,earning risk,"Nvidia is currently trading at its lowest forward earnings multiple in seven years, a level that Bloomberg noted takes the stock back to pre-AI boom valuation territory.",
rss-7a76cd4847965c2c,Freeport-McMoRan (FCX) Suffers a Larger Drop Than the General Market: Key Insights,"Freeport-McMoRan (FCX) closed at $60.53 in the latest trading session, marking a -3.75% move from the prior day.","Freeport-McMoRan (FCX) closed at $60.53 in the latest trading session, marking a -3.75% move from the prior day.",????,2026-07-01T21:50:05+00:00,negative,Materials,,valuation risk,"Freeport-McMoRan (FCX) ended the recent trading session at $60.53, demonstrating a -3.75% change from the preceding day's closing price. ",
rss-b4282a1dfd6d0df5,"[Latest] Global Antidiabetic Drugs Market Size/Share Worth USD 309.84 Billion by 2035 at a 11.62% CAGR: Healthcare Foresights (Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth Rate, Value, SWOT Analysis)","[220+ Pages Latest Report] According to a market research study published by Healthcare Foresights, the demand analysis of Global Antidiabetic Drugs Market size & share revenue was valued at approximately USD 103.21 Billion in 2025 and is expected to reach USD 115.02 Billion in 2026 and is expected to reach around USD 309.84 Billion by 2035, at a CAGR of 11.62% between 2026 and 2035. The key market players listed in the report with their sales, revenues and strategies are Eli Lilly and Company,","[220+ Pages Latest Report] According to a market research study published by Healthcare Foresights, the demand analysis of Global Antidiabetic Drugs Market size & share revenue was valued at approximately USD 103.21 Billion in 2025 and is expected to reach USD 115.02 Billion in 2026 and is expected to reach around USD 309.84 Billion by 2035, at a CAGR of 11.62% between 2026 and 2035. The key market players listed in the report with their sales, revenues and strategies are Eli Lilly and Company,",????,2026-07-03T08:30:00+00:00,positive,Healthcare,,earning risk," According to a market research study published by Healthcare Foresights, the demand analysis of Global Antidiabetic Drugs Market size & share revenue was valued at approximately USD 103.21 Billion in 2025 and is expected to reach USD 115.02 Billion in 2026 and is expected to reach around USD 309.84 Billion by 2035, at a CAGR of 11.62% between 2026 and 2035. ",
rss-a7ec140396ee5bf5,Prologis (PLD) Pursues £12.6 Billion Segro Deal to Expand Logistics and Data Center Footprint,"Prologis, Inc. (NYSE:PLD) ranks among the best real estate and realty stocks to invest in according to hedge funds. On June 17, Raymond James renewed coverage of Prologis, Inc. (NYSE:PLD), rating the shares at Market Perform. Analyst David Rodgers mentioned the company’s development into data centers as a growth catalyst in his assessment. The firm […]","Prologis, Inc. (NYSE:PLD) ranks among the best real estate and realty stocks to invest in according to hedge funds. On June 17, Raymond James renewed coverage of Prologis, Inc. (NYSE:PLD), rating the shares at Market Perform. Analyst David Rodgers mentioned the company’s development into data centers as a growth catalyst in his assessment. The firm […]",????,2026-07-04T02:34:11+00:00,positive,Real Estate,,valuation risk,"Prologis, Inc. (NYSE:PLD) ranks among the best real estate and realty stocks to invest in according to hedge funds. On June 17, Raymond James renewed coverage of Prologis, Inc. (NYSE:PLD), rating the shares at Market Perform. Analyst David Rodgers mentioned the company's development into data centers as a growth catalyst in his assessment.",
rss-440848cf37335d0a,Bank of America argues Amazon retail rival is major AI winner,"Online shopping is moving into a new phase, and consumers may not always notice who is powering it. A shopper today can ask an AI assistant to compare products, find deals, read reviews, build a cart, and move closer to checkout without visiting a traditional retailer's website. In some ...","Online shopping is moving into a new phase, and consumers may not always notice who is powering it. A shopper today can ask an AI assistant to compare products, find deals, read reviews, build a cart, and move closer to checkout without visiting a traditional retailer's website. In some ...",????,2026-07-10T19:13:00+00:00,positive,Consumer Staples,,valuation risk,"
Now, Bank of America is returning to the stock with a bullish view, arguing that the rise of AI shopping may not weaken Shopify’s role in online commerce. ",
rss-2be915e532858e56,Can Duke Energy's Investment Plan Deliver Years of Earnings Growth?,"DUK's $103B investment plan targets grid upgrades, new generation and rising power demand while supporting long-term earnings growth and dividends.","DUK's $103B investment plan targets grid upgrades, new generation and rising power demand while supporting long-term earnings growth and dividends.",????,2026-06-29T17:38:00+00:00,positive,Utilities,,earning risk,"Duke Energy DUK is entering one of the largest capital investment cycles in its history, positioning itself to benefit from rising electricity demand while maintaining relatively predictable cash flows. ",
rss-cf70c31ae3f89e88,Lockheed Martin and 7 More Stocks That Could Benefit From the NATO Meeting in Turkey,The meeting of 32 nations to talk over national defense and shared goals can be a catalyst for defense stocks.,The meeting of 32 nations to talk over national defense and shared goals can be a catalyst for defense stocks.,????,2026-07-07T17:34:00+00:00,positive,Industrials,,geopolitical risk,The meeting of 32 nations to talk over national defense and shared goals can be a catalyst for defense stocks.,
rss-e7ba1fdb7502893c,Starbucks Near Its 52-Week High: Can the Stock Sustain the Rally?,"SBUX is nearing its 52-week high as stronger traffic, loyalty growth and turnaround efforts keep investors focused on the next move.","SBUX is nearing its 52-week high as stronger traffic, loyalty growth and turnaround efforts keep investors focused on the next move.",????,2026-07-08T14:46:00+00:00,positive,Consumer Discretionary,,demand risk,"Starbucks' recent rally reflects growing confidence in its turnaround strategy. The company posted its first year-over-year revenue and earnings growth in more than two years, raised the fiscal 2026 outlook and benefited from strong comparable sales, improving customer traffic, successful menu innovation and a stronger Starbucks Rewards program, reinforcing investor optimism.",
rss-687591191a0ede64,"Trump's calls, Ukraine's strikes and Russia's barrage on Kyiv put markets on alert",Trump reportedly spoke with Putin and Zelenskyy as Ukraine struck Russian targets and Moscow launched another deadly attack on Kyiv.,Trump reportedly spoke with Putin and Zelenskyy as Ukraine struck Russian targets and Moscow launched another deadly attack on Kyiv.,????,2026-07-06T10:53:27+00:00,neutral,Industrials,,geopolitical risk,"The Kremlin, meanwhile, said Sunday that Trump spoke with Putin for 90 minutes over the weekend, during which the U.S. president offered to help find a solution to the war.",
rss-f92ea1a5871603c1,Johnson & Johnson (JNJ) Faces Fresh Talc Risk After $45 Million Verdict Stands,"The Illinois Appellate Court upheld a $45 million talc verdict against Johnson & Johnson. The decision confirms the original jury finding in a talc related case rather than reducing or overturning it. The ruling may influence expectations around ongoing talc litigation and future legal outcomes for the company. For investors following Johnson & Johnson (NYSE: JNJ), this legal outcome arrives while the stock trades at $256.98. The company has recorded a 7.8% return over the past 30 days and...","The Illinois Appellate Court upheld a $45 million talc verdict against Johnson & Johnson. The decision confirms the original jury finding in a talc related case rather than reducing or overturning it. The ruling may influence expectations around ongoing talc litigation and future legal outcomes for the company. For investors following Johnson & Johnson (NYSE: JNJ), this legal outcome arrives while the stock trades at $256.98. The company has recorded a 7.8% return over the past 30 days and...",????,2026-07-10T22:13:13+00:00,negative,Healthcare,,regulatory risk,The Illinois Appellate Court upheld a $45 million talc verdict against Johnson & Johnson.,
rss-7260a791ac775fe2,Coca-Cola Stock Hits 52-Week High: Time to Buy or Wait for Now?,"KO hit a 52-week high as resilient demand, market share gains and strong execution fuel momentum, though its premium valuation remains stretched.","KO hit a 52-week high as resilient demand, market share gains and strong execution fuel momentum, though its premium valuation remains stretched.",????,2026-07-03T12:35:00+00:00,positive,Consumer Staples,,none,"Shares of The Coca-Cola Company KO hit a new 52-week high of $81.14 yesterday. At close, the company's stock reflected a day's gain of 3.5%. KO's current rally stands out among its peers, including PepsiCo Inc. PEP, Keurig Dr Pepper Inc. KDP and Celsius Holdings, Inc. ",
rss-3f87e1bd5512d0ba,"Ford CEO wants level playing field with Toyota, GM imports as USMCA trade talks reopen","Ford reports it assembled over 2 million vehicles in the U.S. last year – more than any other auto manufacturer, including 311,000 units for export.","Ford reports it assembled over 2 million vehicles in the U.S. last year – more than any other auto manufacturer, including 311,000 units for export.",????,2026-07-02T15:36:18+00:00,neutral,Consumer Discretionary,,none,"Autos
Ford CEO wants level playing field with Toyota, GM imports as USMCA trade talks reopen",
rss-019c5d2b3b95bbf1,Bank of America's new META stock outlook cuts to the chase,"Meta's stock is down more than 7% year to date. The company spent much of this year defending its decision to pour hundreds of billions of dollars into AI infrastructure, and investors who followed the Q1 earnings call on April 29 watched the stock drop another 6% to 7% after the company raised its ...","Meta's stock is down more than 7% year to date. The company spent much of this year defending its decision to pour hundreds of billions of dollars into AI infrastructure, and investors who followed the Q1 earnings call on April 29 watched the stock drop another 6% to 7% after the company raised its ...",????,2026-07-10T16:33:00+00:00,positive,Communication Services,,none,"On July 9, the bank added Meta to its US 1 List, an internal designation it reserves for its highest-conviction buy-rated ideas.",
