article_id,stratum_sector,stratum_sentiment,predicted_sentiment_finbert,predicted_sector,predicted_risk_categories,predicted_evidence_sentence,finbert_confidence,p_positive,p_neutral,p_negative
rss-10e515e39b989239,Utilities,positive,positive,Utilities,macro risk,"NEE's $94.1 billion-plus capital plan through 2030 aims to expand FPL, renewables and storage while supporting long-term growth.",0.829,0.829,0.162,0.009
rss-c407e7945c51cf95,Unmapped,positive,positive,Unmapped,macro risk,"states performed over 20 years of Top States for Business Across 20 years of CNBC's America's Top States for Business rankings, some states have proven to be consistent winners, and others to be perennial dogs.",0.634,0.634,0.343,0.024
rss-d30ab4989cf8bb14,Financials,negative,negative,Financials,macro risk,Demand has been patchy.,0.674,0.117,0.209,0.674
rss-adad0139d8011afc,Materials,neutral,neutral,Materials,commodity risk,"Market One delivers content creation and distribution through a suite of products across video, editorial, and social media.Visionary Copper and Gold Mines Inc.: Advancing Its Pt.",0.89,0.097,0.89,0.013
rss-35bef88bc31d0c3d,Financials,neutral,neutral,Financials,macro risk,that it has crossed the legal threshold of 3% for the direct voting rights and equivalent financial instruments upwards on 29 June 2026.,0.905,0.076,0.905,0.019
rss-20630ff7b65cf40f,Consumer Discretionary,positive,positive,Consumer Discretionary,valuation risk,"Wall Street’s generally warm reception for SpaceX—the stock, while off post-IPO highs, remains above its IPO price, and Street analysts are broadly enthusiastic—has spilled over to companies that have some association with the company.",0.94,0.94,0.041,0.02
rss-d4859843f37ed035,Financials,positive,positive,Financials,macro risk,"LONDON, July 08, 2026--Citi has advised StepStone Group, a leading global private markets investment firm, on the structuring and placement of the largest structured solutions vehicle of its kind to date, resulting in $3.3 billion in commitments to invest predominantly in private market secondaries.",0.844,0.844,0.148,0.008
rss-f0c0c33792d287fc,Healthcare,positive,positive,Healthcare,macro risk,"Johnson & Johnson (JNJ) closed at $263.4 in the latest trading session, marking a -1.44% move from the prior day.",0.524,0.524,0.018,0.457
rss-e6f0044899de7af6,Industrials,negative,negative,Industrials,macro risk,"Investing.com -- Federal Aviation Administration workers cannot purchase or own shares in SpaceX following the company's public debut earlier this month, Politico reported Tuesday citing an internal agency document.",0.638,0.018,0.344,0.638
rss-b0035e5ce4bd35c5,Energy,positive,positive,Energy,credit risk,"Occidental's robust proved reserves, strong reserve replacement and diversified assets support production visibility, cash flow resilience and long-term returns.",0.948,0.948,0.04,0.012
rss-d969537197d40c17,Industrials,positive,positive,Industrials,macro risk,"These governance and capital-return moves arrive as GE Aerospace highlights its GE9X engine and expands partnerships such as its silicon carbide agreement with Wolfspeed,...",0.491,0.491,0.46,0.049
rss-7562a17a8fcba85d,Materials,negative,negative,Materials,earnings risk,"Away from capital returns, the company’s decision to lower its 2026 production outlook due to Grasberg mine delays highlights how operational execution risk can directly influence...",0.484,0.037,0.479,0.484
rss-7c3d14a7fcfbd68c,Consumer Staples,negative,negative,Consumer Staples,macro risk,Because It Had ‘Little Room for Error’ Costco shares fell on Thursday after the retailer’s June sales fell slightly short of Wall Street’s high expectations.,0.911,0.011,0.078,0.911
rss-0bed7b25a1e96466,Industrials,neutral,neutral,Industrials,macro risk,"With its stock soaring and aviation tailwinds intact, all eyes are on GE Aerospace's July 16 earnings report.",0.712,0.057,0.712,0.23
rss-436dc981568d4018,Utilities,neutral,neutral,Utilities,macro risk,On June […] Duke Energy Corporation (NYSE:DUK) is included among the 12 Best Utility Stocks to Buy Now According to Hedge Funds.,0.859,0.099,0.859,0.042
rss-272f7e861c665c95,Technology,positive,positive,Technology,macro risk,Microsoft Corporation (NASDAQ:MSFT) is one of the top stocks to buy according to Whale Rock Capital Management.,0.778,0.778,0.214,0.008
rss-dba3199e43519681,Consumer Staples,neutral,neutral,Consumer Staples,commodity risk,"Oil prices (CL=F, BZ=F) are spiking again after President Trump said that the US-Iran ceasefire is ""over."" WTI crude has crossed back above $70 per barrel while Brent crude re-approaches the $80 benchmark.",0.412,0.211,0.412,0.377
rss-876fb4c58656973e,Communication Services,negative,negative,Communication Services,macro risk,"After a steep pullback, this telecom giant looks cheap, but the market's discount could be a warning sign about the business itself.",0.793,0.16,0.046,0.793
rss-2971046c8536b4c5,Healthcare,negative,negative,Healthcare,macro risk,"The healthcare giant raised its outlook for the year, yet the market is holding back its reward, creating a tense waiting game for investors.",0.956,0.01,0.034,0.956
rss-1513f7e73c2ca9b1,Unmapped,negative,negative,Unmapped,macro risk,"Beshear as Senate vacancy questions grow McConnell, the former longtime Senate leader who declined to seek an eighth term following a series of health scares, was admitted to a hospital on June 14.",0.775,0.027,0.198,0.775
rss-1a33d20b1764a60c,Unmapped,neutral,neutral,Unmapped,macro risk,"Here’s who is eligible for $1,000 in free money — and how to sign up.",0.936,0.046,0.936,0.018
rss-53a625b259400415,Technology,negative,negative,Technology,macro risk,China said specific versions of Claude Code posed back-door vulnerabilities that could send sensitive information to a remote server.,0.763,0.023,0.213,0.763
rss-3f887dd363410eab,Energy,neutral,neutral,Energy,liquidity risk,"completed a US$300,000,000 offering of 6.5% convertible notes due 2031 and a US$100,000,002 follow-on common stock sale at US$3.08 per share, both aimed at refinancing its senior secured term loan with Exxon Mobil.",0.525,0.246,0.525,0.229
rss-b600786091aa6fda,Materials,positive,positive,Materials,liquidity risk,"The company, co-founded by mining financier ⁠Robert Friedland and Chief Technology Officer Laurent Frescaline, said the funding would help ​develop high-performance ​silicon-carbide semiconductor components ​used in pulsed-power ‌systems.",0.761,0.761,0.228,0.011
rss-b00c3b437012aa9c,Energy,negative,negative,Energy,commodity risk,"A number of stocks fell in the afternoon session after crude oil dropped to its lowest level since the start of the Iran war, as tankers resumed transit through the Strait of Hormuz and the U.S.",0.527,0.428,0.046,0.527
rss-fc99e5fc2afdce09,Communication Services,neutral,neutral,Communication Services,macro risk,An ar,0.943,0.028,0.943,0.029
rss-2199f7c18433baa2,Communication Services,positive,positive,Communication Services,macro risk,"Revenue of $109.90 billion was up 21.8% year over year, cloud grew 63%, and CEO Sundar Pichai declared that “our AI investments and full stack approach are driving performance across our business.” Shares sit at $364.90 after a 16.43% YTD ...",0.49,0.49,0.406,0.104
rss-81955c71a2012829,Real Estate,neutral,neutral,Real Estate,interest rate risk,"With an annual dividend yield of 4.06%, Simon Property Group, Inc.",0.835,0.146,0.835,0.019
rss-2ece5ace4c2d0a2c,Healthcare,neutral,neutral,Healthcare,macro risk,"On June 24, the US Food and Drug Administration approved the use of Pfizer Inc.",0.615,0.351,0.615,0.034
rss-6065c0ca067e4299,Utilities,negative,negative,Utilities,valuation risk,"The Dividend Discount Model (DDM) suggests the shares trade at a premium to their intrinsic value, while the market multiples lean the other way.",0.423,0.214,0.363,0.423
rss-481eee322e6bbadf,Real Estate,negative,negative,Real Estate,macro risk,British warehouse business Segro has rebuffed a £12.6bn takeover approach from US rival Prologis as landlords invest billions to meet booming demand for AI data centres.,0.805,0.155,0.04,0.805
rss-4dc51a34aeffe80b,Real Estate,positive,positive,Real Estate,macro risk,"O extends its dividend streak with its 673rd monthly payout, backed by strong occupancy, portfolio growth and strategic investments.",0.898,0.898,0.083,0.02
rss-945ebd158ac90ad8,Consumer Staples,positive,positive,Consumer Staples,earnings risk,"Analysts expect tariff refunds and lower fuel costs to offset the discounts, leaving Walmart's profit guidance intact.",0.929,0.929,0.018,0.053
rss-f328cc5bb729599d,Consumer Discretionary,neutral,neutral,Consumer Discretionary,interest rate risk,"The stock offers a high yield, but it comes with risks.",0.641,0.06,0.641,0.299
rss-d97b33e2ac9f89e5,Consumer Discretionary,negative,negative,Consumer Discretionary,earnings risk,"Shares trade at $324.45 after slipping 4.3% year to date, while management just reaffirmed full-year guidance and pushed comparable sales back into positive territory.",0.513,0.108,0.379,0.513
rss-a1b92ddc8bc93970,Technology,neutral,neutral,Technology,macro risk,Creative Strategies senior analyst Austin Lyons comes on Market Domination to break down where SK Hynix fits into fulfilling demand for high-bandwidth memory (HBM) and dynamic random-access memory (DRAM) chips.,0.739,0.251,0.739,0.009
rss-3faa0275d4da7e0e,Utilities,positive,positive,Utilities,macro risk,"In the most recent trading session, Duke Energy (DUK) closed at $128.4, indicating a +1.01% shift from the previous trading day.",0.832,0.832,0.024,0.143
rss-45bc6e0197eb4721,Unmapped,positive,positive,Unmapped,macro risk,"Kraken is rebuilding its app around agentic trading, the company told CNBC exclusively.",0.917,0.917,0.068,0.015
rss-6d43366e624946ac,Financials,negative,negative,Financials,macro risk,"(Bloomberg) -- The options market is sending a bearish signal on the yen, with interest-rate differentials remaining firmly in favor of the dollar and the Japanese authorities avoiding intervention for now.Most Read from BloombergOil, Gas Tankers Cross Hormuz Via Oman-Side Route After U-TurnsGreece Offers Bounty to Catch Ravenous Fish Lured by Warming SeaThe Supertanker Tycoon Making Millions on Hormuz Shuttle RunsModi’s Flagship Biofuel Push Faces Backlash From MotoristsOil’s Supply Wave, Tumbl (Bloomberg) -- The options market is sending a bearish signal on the yen, with interest-rate differentials remaining firmly in favor of the dollar and the Japanese authorities avoiding intervention for now.Most Read from BloombergOil, Gas Tankers Cross Hormuz Via Oman-Side Route After U-TurnsGreece Offers Bounty to Catch Ravenous Fish Lured by Warming SeaThe Supertanker Tycoon Making Millions on Hormuz Shuttle RunsModi’s Flagship Biofuel Push Faces Backlash From MotoristsOil’s Supply Wave, Tumbl",0.618,0.228,0.155,0.618
rss-85d8bdac1dd36143,Materials,neutral,neutral,Materials,macro risk,"(DOW) Stock Sinks As Market Gains: Here's Why In the latest trading session, Dow Inc.",0.386,0.382,0.386,0.233
rss-d7c100eda070d499,Financials,neutral,neutral,Financials,macro risk,These 4 ETFs are great options for long-term investors.,0.626,0.364,0.626,0.009
rss-1e964cd3f63e25b0,Consumer Discretionary,positive,positive,Consumer Discretionary,macro risk,"The global market for portable DC fast chargers is set to experience significant growth, driven by increasing adoption of electric vehicles (EVs) and the demand for flexible charging solutions in remote or underserved areas.",0.645,0.645,0.344,0.011
rss-a22ff690182977e3,Financials,positive,positive,Financials,valuation risk,"SambaNova raised $1bn as part of a Series F round, giving it a post-money valuation of $11bn.",0.693,0.693,0.3,0.007
rss-87628b325185c38b,Healthcare,positive,positive,Healthcare,macro risk,"Earnings optimism, AI demand, and healthcare momentum drove gains.",0.678,0.678,0.294,0.028
rss-3a08503ed052b47b,Industrials,negative,negative,Industrials,macro risk,"GE Vernova (GEV) reached $1 at the closing of the latest trading day, reflecting a -6.51% change compared to its last close.",0.491,0.488,0.022,0.491
rss-99d75ad6f864fa36,Energy,positive,positive,Energy,macro risk,Companies with high margins have proven they can generate consistent earnings while maintaining financial discipline.,0.729,0.729,0.258,0.013
rss-94ab24dc1f2f1899,Industrials,positive,positive,Industrials,macro risk,"For investors tracking Boeing (NYSE:BA), this cargo deal with China Southern Airlines reopens a key commercial channel in the world's second largest aviation market.",0.603,0.603,0.29,0.107
rss-00b854a9717e2c75,Materials,negative,negative,Materials,commodity risk,"BHP Group (ASX:BHP) is in the spotlight after a series of leadership changes, capped by the retirement of Executive Director Mike Henry on June 30, 2026, and a reshaped executive team.",0.389,0.296,0.315,0.389
rss-7b5918e4226059e3,Consumer Staples,negative,negative,Consumer Staples,valuation risk,"Then Tuesday came around, and that rally fizzled out.",0.574,0.203,0.223,0.574
rss-7f3571ae4a9ef8e5,Industrials,neutral,neutral,Industrials,macro risk,Michael Burry of The Big Short fame has been making quite a few bearish bets across many of the pricier-looking names fitting the AI theme.,0.788,0.093,0.788,0.12
rss-dc3e9435e3d938c4,Utilities,neutral,neutral,Utilities,macro risk,"As previously communicated, the company will make NextEra Energy, Inc.",0.946,0.036,0.946,0.019
rss-78241d9d53cd7fd9,Technology,positive,positive,Technology,macro risk,Shares of several chipmakers and memory companies are higher Monday as the AI trade continues to bounce back from a recent sell-off.,0.936,0.936,0.029,0.035
rss-3d50273bcfe4cf3c,Consumer Staples,neutral,neutral,Consumer Staples,interest rate risk,"Gross salary can overstate the target because it includes payroll taxes, retirement contributions, and expenses ...",0.575,0.108,0.575,0.317
rss-6ff4baa8bce0ce73,Communication Services,negative,negative,Communication Services,macro risk,BofA Says Meta's Biggest AI Win Isn't Its New Model.,0.504,0.37,0.126,0.504
rss-0ad53c13230e3d91,Healthcare,negative,negative,Healthcare,macro risk,Merck cited business reasons for the discontinuation of the investigational drug.,0.87,0.012,0.118,0.87
rss-cfaee7e08a0c4509,Unmapped,negative,negative,Unmapped,macro risk,They’re a poor deal for most other people.,0.748,0.024,0.229,0.748
rss-3962683b723f13e2,Unmapped,neutral,neutral,Unmapped,macro risk,A stable job and a nice home have become less accessible to young Americans.,0.6,0.096,0.6,0.305
rss-45558857cf96b0f6,Technology,negative,negative,Technology,macro risk,Broadcom stock has dipped 22% over the past month.,0.699,0.242,0.059,0.699
rss-ed42c8974aad2c52,Energy,neutral,neutral,Energy,geopolitical risk,There is one important lesson from the geopolitical conflict in the Middle East: Energy is still vital to the world.,0.704,0.274,0.704,0.023
rss-96f5eb36255edf50,Materials,positive,positive,Materials,macro risk,"Since arriving at Jimblebar late last year, the vehicles have accumulated more than 100 operating hours and completed 200 test laps.",0.707,0.707,0.28,0.014
rss-b458b2ee4e68519c,Energy,negative,negative,Energy,commodity risk,"The earnings surge is intensifying political pressure, with President Trump demanding gasoline prices fall to $2.25–$2.50 per gallon and launching price-gouging investigations despite industry claims that pump prices lag crude price declines.",0.943,0.018,0.039,0.943
rss-64ebd46f05b3b16b,Communication Services,neutral,neutral,Communication Services,macro risk,Everyone has forgotten about something they bought.,0.79,0.039,0.79,0.171
rss-b30dd4779ffdb980,Communication Services,positive,positive,Communication Services,valuation risk,"(Bloomberg) -- Currency traders are starting to buy protection against bigger exchange-rate swings after months of calm, as banks warn that shifting Federal Reserve expectations and elevated geopolitical tensions could be about to jolt markets.Most Read from BloombergMicrosoft’s Xbox to Shift Obsidian Studio to New ‘Fallout’ Video GameNvidia’s $1 Trillion Slide Sends Valuation to Pre-AI Boom LevelsZuckerberg Pledges ‘Aggressive’ Pricing With Meta’s First Pay-to-Use AITrump Vents Anger With Iran.",0.632,0.632,0.234,0.134
rss-159897e9c7ee5303,Real Estate,neutral,neutral,Real Estate,macro risk,"whose parent is Dimensional Fund Advisors LP, and also on behalf their investment advisory affiliates (“Dimensional”).",0.949,0.033,0.949,0.018
rss-002d80a6a852db15,Healthcare,neutral,neutral,Healthcare,valuation risk,"Drug pricing reform, patent cliffs and post-COVID-19 hangovers have crushed multiples across Big Pharma, but the wreckage has created opportunities in two cash-generative franchises trading at single-digit forward earnings multiples.",0.571,0.363,0.571,0.065
rss-1d7799b4365e289f,Real Estate,negative,negative,Real Estate,macro risk,"Meanwhile, revenue and FFO pressures linger.",0.405,0.394,0.201,0.405
rss-b09dc3996b115192,Real Estate,positive,positive,Real Estate,macro risk,"The combination of soccer-themed fan activations, traveling experiential installations, and expanded in-store promotions at 90 adidas retail locations underscores Simon’s push to turn its...",0.662,0.662,0.329,0.009
rss-60f8653d8b67013f,Consumer Staples,positive,positive,Consumer Staples,macro risk,"Walmart deepens Sam's Club's wellness offering with Weight Watchers perks aimed at boosting engagement, renewals and recurring membership revenue.",0.788,0.788,0.203,0.009
rss-2489a94e271d5a8e,Consumer Discretionary,neutral,neutral,Consumer Discretionary,macro risk,"Adidas: Here’s Who’s Winning the World Cup Sales Race From marketing to product, the competition is fierce.",0.757,0.142,0.757,0.101
rss-65c4ae74412bb30b,Consumer Discretionary,negative,negative,Consumer Discretionary,macro risk,But one of them carries hidden risks that could quietly wreck an income portfolio.,0.729,0.023,0.248,0.729
rss-d4111622ff3f5e88,Technology,neutral,neutral,Technology,macro risk,"The task force will ""survey the pace, the reach [and] the economic impact of new general-purpose technologies, including AI."" The task force will ""survey the pace, the reach [and] the economic impact of new general-purpose technologies, including AI.""",0.911,0.031,0.911,0.058
rss-2be915e532858e56,Utilities,positive,positive,Utilities,macro risk,"DUK's $103B investment plan targets grid upgrades, new generation and rising power demand while supporting long-term earnings growth and dividends.",0.818,0.818,0.173,0.008
rss-60d3fbfd9d897476,Unmapped,positive,positive,Unmapped,macro risk,The deal for Full Swing will expand Versant's nontraditional media assets in an effort to diversify revenue from cable television.,0.906,0.906,0.086,0.008
rss-c08417e7fee3b247,Financials,negative,negative,Financials,valuation risk,"Goldman Sachs Group stock has surged over the last few years, yet the current checks suggest it is no longer clearly cheap, with the Excess Returns intrinsic value estimate pointing to a premium to the market price while the earnings multiples look roughly in line with peers.",0.509,0.401,0.09,0.509
rss-51ce10a1976957cf,Materials,neutral,neutral,Materials,macro risk,"And right now, there’s one question on every investor’s tongue as a new wave of trillion-dollar tech IPOs hits the public markets.",0.863,0.069,0.863,0.069
rss-e62a946847536b5f,Financials,neutral,neutral,Financials,macro risk,"Physical AI has moved from promise to commercial reality, but deploying robots at scale remains the industry's central challenge, according to Citi.",0.836,0.15,0.836,0.014
rss-5cbd3c0b0b86dbc2,Consumer Discretionary,positive,positive,Consumer Discretionary,valuation risk,US automakers are looking to stabilize and rally into the weekend.,0.935,0.935,0.033,0.033
rss-7159d4b32846ff32,Financials,positive,positive,Financials,macro risk,"JPM, BAC, C and WFC kick off Q2 bank earnings on July 14 as rising estimates and loan growth keep investors focused on the reporting season.",0.563,0.563,0.068,0.369
rss-dfd471bb340c23e8,Healthcare,positive,positive,Healthcare,regulatory risk,Regulatory authorities in the EU also cleared additional KEYTRUDA combinations in early-stage oncology settings.,0.63,0.63,0.353,0.017
rss-289438c6ac607ba1,Industrials,negative,negative,Industrials,macro risk,AI stocks fall with South Korean memory-chip maker Samsung Electronics setting the tone for the broader market.,0.954,0.015,0.03,0.954
rss-1797b4632bab0f0e,Energy,positive,positive,Energy,macro risk,"The firm’s price target reflects 32% upside from current levels, which sits just […] Exxon Mobil Corporation (NYSE:XOM) is one of the 10 Best Major Stocks to Buy According to Analysts.",0.48,0.48,0.46,0.06
rss-bb364e11fe7fea80,Industrials,positive,positive,Industrials,macro risk,GE (GE) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,0.913,0.913,0.074,0.013
rss-0c102922f137be6b,Materials,negative,negative,Materials,macro risk,European equities traded in the US as American depositary receipts were tracking sharply lower late European equities traded in the US as American depositary receipts were tracking sharply lower late,0.963,0.026,0.012,0.963
rss-271ee1ce2556b08f,Consumer Staples,negative,negative,Consumer Staples,macro risk,Walmart (NYSE: WMT) announced it is dropping prices on thousands of items it sells in its stores.,0.523,0.114,0.363,0.523
rss-d1f68bff5db0d640,Industrials,neutral,neutral,Industrials,macro risk,These calls stand out because analysts rarely issue grim ratings on companies for fear their firms will lose out in other business lines such as M&A advisory.,0.537,0.036,0.537,0.427
rss-98fb8563fda3c02e,Utilities,neutral,neutral,Utilities,macro risk,"The utility is standing out in a down market, but its real value to your portfolio is a story that's been years in the making.",0.882,0.086,0.882,0.032
rss-7ed572e2b1325ad5,Technology,positive,positive,Technology,macro risk,Broadcom on Monday disclosed a five-year deal to supply custom processors to consumer electronics giant Apple.,0.754,0.754,0.191,0.054
