article_id,event_id,source,publisher,source_count,title,summary,content,body_text,content_level,rescored,url,published_at,collected_at,time_parse_error,language,tickers,companies,sector,topic,sentiment_score,p_positive,p_neutral,p_negative,sentiment_score_fulltext,p_positive_fulltext,p_neutral_fulltext,p_negative_fulltext,b_bull,b_bear,g_growth,s_shock,k_unc,entropy_norm,optimism,fear,uncertainty,attention,attention_weight,disagreement,disagreement_input,risk_intensity,risk_category,evidence_sentence,model_confidence,relevance_weight,time_weight,source_weight,agg_weight,is_duplicate,dedup_factor,processing_error
demo-01-11,demo-01-11,Demo Market Wire,Demo Market Wire,1,Apple cloud growth update 11 shapes Technology sentiment,cloud spending trends remained resilient. Investors linked the move to cloud growth.,Apple and Microsoft were mentioned in demo coverage of Technology. cloud spending trends remained resilient. Analysts said earnings risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-01-01,2026-06-16T18:00:00+00:00,2026-07-07T00:00:00+00:00,,en,AAPL;MSFT,Apple;Microsoft,Technology,cloud growth,0.312,0.413,0.486,0.101,,,,,0.000000,0.000000,1.000000,0.000000,0.500000,0.862263,38.9,7.1,60.3,0.0,0.0,0.0,0.312,30.0,earnings risk,Analysts said earnings risk should be monitored over the next few weeks.,0.486,1.000,0.001171,1.000,0.000351,True,0.3,
demo-01-12,demo-01-12,Demo Finance Daily,Demo Finance Daily,1,Apple AI demand update 1 reshapes Technology sentiment,valuation questions grew after a sharp rally. Investors linked the move to earnings risk.,Microsoft and Nvidia were mentioned in demo coverage of Technology. valuation questions grew after a sharp rally. Analysts said macro risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-01-12,2026-06-14T15:00:00+00:00,2026-07-07T00:00:00+00:00,,en,AAPL;MSFT;NVDA,Apple;Microsoft;Nvidia,Technology,AI demand,0.187,0.273,0.642,0.085,,,,,0.000000,0.000000,0.000000,0.000000,1.000000,0.772447,19.1,6.0,78.9,0.0,0.0,0.0,0.187,58.0,earnings risk;valuation risk,Investors linked the move to earnings risk.,0.642,1.000,0.000577,1.000,0.000404,True,0.7,
demo-02-01,demo-02-01,Demo Finance Daily,Demo Finance Daily,1,Meta advertising growth update 1 shapes Communication Services sentiment,digital advertising demand improved across large platforms. Investors linked the move to advertising growth.,Meta and Alphabet were mentioned in demo coverage of Communication Services. digital advertising demand improved across large platforms. Analysts said regulatory risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-02-01,2026-07-03T22:00:00+00:00,2026-07-07T00:00:00+00:00,,en,GOOGL;META,Alphabet;Meta,Communication Services,advertising growth,0.515,0.534,0.446,0.020,,,,,0.000000,0.000000,1.000000,0.000000,0.500000,0.703416,47.4,1.4,53.9,0.0,0.0,0.0,0.515,40.0,regulatory risk,Analysts said regulatory risk should be monitored over the next few weeks.,0.534,1.000,0.357801,1.000,0.357801,False,1.0,
demo-02-02,demo-02-02,Demo Sector Brief,Demo Sector Brief,1,Alphabet streaming margins update 2 shapes Communication Services sentiment,streaming competition raised questions about margins. Investors linked the move to streaming margins.,Alphabet and Netflix were mentioned in demo coverage of Communication Services. streaming competition raised questions about margins. Analysts said demand risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-02-02,2026-07-01T19:00:00+00:00,2026-07-07T00:00:00+00:00,,en,GOOGL;NFLX,Alphabet;Netflix,Communication Services,streaming,-0.194,0.197,0.411,0.392,,,,,0.000000,0.000000,0.000000,0.000000,1.000000,0.958096,13.8,27.4,75.2,0.0,0.0,0.0,-0.194,30.0,demand risk,Analysts said demand risk should be monitored over the next few weeks.,0.411,1.000,0.176204,1.000,0.176204,False,1.0,
demo-02-03,demo-02-03,Demo Analyst Note,Demo Analyst Note,1,Netflix regulatory risk update 3 shapes Communication Services sentiment,subscriber engagement remained stable. Investors linked the move to regulatory risk.,Netflix and AT&T were mentioned in demo coverage of Communication Services. subscriber engagement remained stable. Analysts said valuation risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-02-03,2026-06-29T16:00:00+00:00,2026-07-07T00:00:00+00:00,,en,NFLX;T,AT&T;Netflix,Communication Services,streaming,0.327,0.383,0.561,0.056,,,,,0.000000,0.000000,0.000000,0.000000,1.000000,0.777594,26.8,4.0,75.7,0.0,0.0,0.0,0.327,84.0,regulatory risk;valuation risk,subscriber engagement remained stable.,0.561,1.000,0.086774,1.000,0.086774,False,1.0,
demo-02-04,demo-02-04,Demo Macro Watch,Demo Macro Watch,1,AT&T subscriber trends update 4 shapes Communication Services sentiment,policy scrutiny around platform rules increased. Investors linked the move to subscriber trends.,AT&T and Verizon were mentioned in demo coverage of Communication Services. policy scrutiny around platform rules increased. Analysts said earnings risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-02-04,2026-06-27T13:00:00+00:00,2026-07-07T00:00:00+00:00,,en,T;VZ,AT&T;Verizon,Communication Services,earnings risk,0.221,0.343,0.536,0.121,,,,,0.000000,0.000000,0.000000,0.000000,0.500000,0.871410,24.0,8.5,62.6,0.0,0.0,0.0,0.221,86.0,regulatory risk;earnings risk,policy scrutiny around platform rules increased.,0.536,1.000,0.042733,1.000,0.042733,False,1.0,
demo-02-05,demo-02-05,Demo Market Wire,Demo Market Wire,1,Verizon advertising growth update 5 shapes Communication Services sentiment,digital advertising demand improved across large platforms. Investors linked the move to advertising growth.,Verizon and Meta were mentioned in demo coverage of Communication Services. digital advertising demand improved across large platforms. Analysts said regulatory risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-02-05,2026-06-25T10:00:00+00:00,2026-07-07T00:00:00+00:00,,en,META;VZ,Meta;Verizon,Communication Services,advertising growth,0.520,0.538,0.443,0.019,,,,,0.000000,0.000000,1.000000,0.000000,0.500000,0.699275,47.7,1.3,53.7,0.0,0.0,0.0,0.520,40.0,regulatory risk,Analysts said regulatory risk should be monitored over the next few weeks.,0.538,1.000,0.021045,1.000,0.021045,False,1.0,
demo-02-06,demo-02-06,Demo Finance Daily,Demo Finance Daily,1,Meta streaming margins update 6 shapes Communication Services sentiment,streaming competition raised questions about margins. Investors linked the move to streaming margins.,Meta and Alphabet were mentioned in demo coverage of Communication Services. streaming competition raised questions about margins. Analysts said demand risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-02-06,2026-06-23T07:00:00+00:00,2026-07-07T00:00:00+00:00,,en,GOOGL;META,Alphabet;Meta,Communication Services,streaming margins,-0.204,0.193,0.410,0.397,,,,,0.000000,0.000000,0.000000,0.000000,1.000000,0.955412,13.5,27.8,75.1,0.0,0.0,0.0,-0.204,30.0,demand risk,Analysts said demand risk should be monitored over the next few weeks.,0.410,1.000,0.010364,1.000,0.010364,False,1.0,
demo-02-07,demo-02-07,Demo Sector Brief,Demo Sector Brief,1,Alphabet regulatory risk update 7 shapes Communication Services sentiment,subscriber engagement remained stable. Investors linked the move to regulatory risk.,Alphabet and Netflix were mentioned in demo coverage of Communication Services. subscriber engagement remained stable. Analysts said valuation risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-02-07,2026-06-21T04:00:00+00:00,2026-07-07T00:00:00+00:00,,en,GOOGL;NFLX,Alphabet;Netflix,Communication Services,streaming,0.295,0.361,0.574,0.065,,,,,0.000000,0.000000,0.000000,0.000000,1.000000,0.787227,25.3,4.6,76.6,0.0,0.0,0.0,0.295,84.0,regulatory risk;valuation risk,subscriber engagement remained stable.,0.574,1.000,0.005104,1.000,0.005104,False,1.0,
demo-02-08,demo-02-08,Demo Analyst Note,Demo Analyst Note,1,Netflix subscriber trends update 8 shapes Communication Services sentiment,policy scrutiny around platform rules increased. Investors linked the move to subscriber trends.,Netflix and AT&T were mentioned in demo coverage of Communication Services. policy scrutiny around platform rules increased. Analysts said earnings risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-02-08,2026-06-19T01:00:00+00:00,2026-07-07T00:00:00+00:00,,en,NFLX;T,AT&T;Netflix,Communication Services,streaming,0.234,0.351,0.531,0.118,,,,,0.000000,0.000000,0.000000,0.000000,0.500000,0.869541,24.6,8.2,62.3,0.0,0.0,0.0,0.234,86.0,regulatory risk;earnings risk,policy scrutiny around platform rules increased.,0.531,1.000,0.002513,1.000,0.002513,False,1.0,
demo-02-09,demo-02-09,Demo Macro Watch,Demo Macro Watch,1,AT&T advertising growth update 9 shapes Communication Services sentiment,digital advertising demand improved across large platforms. Investors linked the move to advertising growth.,AT&T and Verizon were mentioned in demo coverage of Communication Services. digital advertising demand improved across large platforms. Analysts said regulatory risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-02-09,2026-06-17T22:00:00+00:00,2026-07-07T00:00:00+00:00,,en,T;VZ,AT&T;Verizon,Communication Services,advertising growth,0.522,0.541,0.440,0.019,,,,,0.000000,0.000000,1.000000,0.000000,0.500000,0.699750,47.9,1.3,53.6,0.0,0.0,0.0,0.522,40.0,regulatory risk,Analysts said regulatory risk should be monitored over the next few weeks.,0.541,1.000,0.001727,1.000,0.001727,False,1.0,
demo-02-10,demo-02-10,Demo Market Wire,Demo Market Wire,1,Verizon streaming margins update 10 shapes Communication Services sentiment,streaming competition raised questions about margins. Investors linked the move to streaming margins.,Verizon and Meta were mentioned in demo coverage of Communication Services. streaming competition raised questions about margins. Analysts said demand risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-02-10,2026-06-15T19:00:00+00:00,2026-07-07T00:00:00+00:00,,en,META;VZ,Meta;Verizon,Communication Services,streaming margins,-0.199,0.196,0.409,0.395,,,,,0.000000,0.000000,0.000000,0.000000,1.000000,0.957570,13.7,27.6,75.1,0.0,0.0,0.0,-0.199,30.0,demand risk,Analysts said demand risk should be monitored over the next few weeks.,0.409,1.000,0.000851,1.000,0.000851,False,1.0,
demo-02-11,demo-02-11,Demo Finance Daily,Demo Finance Daily,1,Meta regulatory risk update 11 shapes Communication Services sentiment,subscriber engagement remained stable. Investors linked the move to regulatory risk.,Meta and Alphabet were mentioned in demo coverage of Communication Services. subscriber engagement remained stable. Analysts said valuation risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-02-01,2026-06-13T16:00:00+00:00,2026-07-07T00:00:00+00:00,,en,GOOGL;META,Alphabet;Meta,Communication Services,regulatory risk,0.266,0.339,0.588,0.073,,,,,0.000000,0.000000,0.000000,0.000000,1.000000,0.792816,23.7,5.1,77.3,0.0,0.0,0.0,0.266,84.0,regulatory risk;valuation risk,subscriber engagement remained stable.,0.588,1.000,0.000419,1.000,0.000126,True,0.3,
demo-02-12,demo-02-12,Demo Sector Brief,Demo Sector Brief,1,Meta advertising growth update 1 reshapes Communication Services sentiment,policy scrutiny around platform rules increased. Investors linked the move to subscriber trends.,Alphabet and Netflix were mentioned in demo coverage of Communication Services. policy scrutiny around platform rules increased. Analysts said earnings risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-02-12,2026-06-11T13:00:00+00:00,2026-07-07T00:00:00+00:00,,en,GOOGL;META;NFLX,Alphabet;Meta;Netflix,Communication Services,streaming,0.335,0.420,0.496,0.085,,,,,0.000000,0.000000,0.500000,0.000000,0.500000,0.838531,34.4,5.9,60.0,0.0,0.0,0.0,0.335,86.0,regulatory risk;earnings risk,policy scrutiny around platform rules increased.,0.496,1.000,0.000206,1.000,0.000144,True,0.7,
demo-03-01,demo-03-01,Demo Sector Brief,Demo Sector Brief,1,Amazon consumer spending update 1 shapes Consumer Discretionary sentiment,online sales showed resilient consumer demand. Investors linked the move to consumer spending.,Amazon and Tesla were mentioned in demo coverage of Consumer Discretionary. online sales showed resilient consumer demand. Analysts said demand risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-03-01,2026-06-30T20:00:00+00:00,2026-07-07T00:00:00+00:00,,en,AMZN;TSLA,Amazon;Tesla,Consumer Discretionary,consumer spending,0.472,0.520,0.431,0.048,,,,,0.000000,0.000000,0.000000,0.000000,0.500000,0.772943,36.4,3.4,55.4,0.0,0.0,0.0,0.472,30.0,demand risk,Analysts said demand risk should be monitored over the next few weeks.,0.520,1.000,0.128022,1.000,0.128022,False,1.0,
demo-03-02,demo-03-02,Demo Analyst Note,Demo Analyst Note,1,Tesla earnings risk update 2 shapes Consumer Discretionary sentiment,ticket sizes softened as shoppers became selective. Investors linked the move to earnings risk.,Tesla and Nike were mentioned in demo coverage of Consumer Discretionary. ticket sizes softened as shoppers became selective. Analysts said valuation risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-03-02,2026-06-28T17:00:00+00:00,2026-07-07T00:00:00+00:00,,en,NKE;TSLA,Nike;Tesla,Consumer Discretionary,earnings risk,0.307,0.395,0.518,0.087,,,,,0.000000,0.000000,0.000000,0.000000,1.000000,0.837991,27.6,6.1,75.9,0.0,0.0,0.0,0.307,87.2,earnings risk;valuation risk;demand risk,ticket sizes softened as shoppers became selective.,0.518,1.000,0.063046,1.000,0.063046,False,1.0,
demo-03-03,demo-03-03,Demo Macro Watch,Demo Macro Watch,1,Nike demand risk update 3 shapes Consumer Discretionary sentiment,restaurant traffic held up better than expected. Investors linked the move to demand risk.,Nike and Home Depot were mentioned in demo coverage of Consumer Discretionary. restaurant traffic held up better than expected. Analysts said earnings risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-03-03,2026-06-26T14:00:00+00:00,2026-07-07T00:00:00+00:00,,en,HD;NKE,Home Depot;Nike,Consumer Discretionary,earnings risk,0.437,0.483,0.472,0.046,,,,,0.000000,0.000000,0.000000,0.000000,1.000000,0.770694,33.8,3.2,72.0,0.0,0.0,0.0,0.437,72.0,earnings risk;demand risk,Analysts said earnings risk should be monitored over the next few weeks.,0.483,1.000,0.031048,1.000,0.031048,False,1.0,
demo-03-04,demo-03-04,Demo Market Wire,Demo Market Wire,1,Home Depot valuation risk update 4 shapes Consumer Discretionary sentiment,auto demand concerns weighed on growth expectations. Investors linked the move to valuation risk.,Home Depot and McDonald's were mentioned in demo coverage of Consumer Discretionary. auto demand concerns weighed on growth expectations. Analysts said macro risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-03-04,2026-06-24T11:00:00+00:00,2026-07-07T00:00:00+00:00,,en,HD;MCD,Home Depot;McDonald's,Consumer Discretionary,general market sentiment,-0.347,0.083,0.488,0.430,,,,,0.000000,0.000000,1.000000,0.000000,1.000000,0.836634,15.8,30.1,74.6,0.0,0.0,0.0,-0.347,40.0,valuation risk,auto demand concerns weighed on growth expectations.,0.488,1.000,0.015290,1.000,0.015290,False,1.0,
demo-03-05,demo-03-05,Demo Finance Daily,Demo Finance Daily,1,McDonald's consumer spending update 5 shapes Consumer Discretionary sentiment,online sales showed resilient consumer demand. Investors linked the move to consumer spending.,McDonald's and Amazon were mentioned in demo coverage of Consumer Discretionary. online sales showed resilient consumer demand. Analysts said demand risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-03-05,2026-06-22T08:00:00+00:00,2026-07-07T00:00:00+00:00,,en,AMZN;MCD,Amazon;McDonald's,Consumer Discretionary,consumer spending,0.452,0.508,0.435,0.056,,,,,0.000000,0.000000,0.000000,0.000000,0.500000,0.790216,35.6,3.9,56.1,0.0,0.0,0.0,0.452,30.0,demand risk,Analysts said demand risk should be monitored over the next few weeks.,0.508,1.000,0.007530,1.000,0.007530,False,1.0,
demo-03-06,demo-03-06,Demo Sector Brief,Demo Sector Brief,1,Amazon earnings risk update 6 shapes Consumer Discretionary sentiment,ticket sizes softened as shoppers became selective. Investors linked the move to earnings risk.,Amazon and Tesla were mentioned in demo coverage of Consumer Discretionary. ticket sizes softened as shoppers became selective. Analysts said valuation risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-03-06,2026-06-20T05:00:00+00:00,2026-07-07T00:00:00+00:00,,en,AMZN;TSLA,Amazon;Tesla,Consumer Discretionary,earnings risk,0.267,0.370,0.527,0.103,,,,,0.000000,0.000000,0.000000,0.000000,1.000000,0.855277,25.9,7.2,76.7,0.0,0.0,0.0,0.267,87.2,earnings risk;valuation risk;demand risk,ticket sizes softened as shoppers became selective.,0.527,1.000,0.003708,1.000,0.003708,False,1.0,
demo-03-07,demo-03-07,Demo Analyst Note,Demo Analyst Note,1,Tesla demand risk update 7 shapes Consumer Discretionary sentiment,restaurant traffic held up better than expected. Investors linked the move to demand risk.,Tesla and Nike were mentioned in demo coverage of Consumer Discretionary. restaurant traffic held up better than expected. Analysts said earnings risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-03-07,2026-06-18T02:00:00+00:00,2026-07-07T00:00:00+00:00,,en,NKE;TSLA,Nike;Tesla,Consumer Discretionary,earnings risk,0.435,0.481,0.474,0.046,,,,,0.000000,0.000000,0.000000,0.000000,1.000000,0.770958,33.6,3.2,72.1,0.0,0.0,0.0,0.435,72.0,earnings risk;demand risk,Analysts said earnings risk should be monitored over the next few weeks.,0.481,1.000,0.001826,1.000,0.001826,False,1.0,
demo-03-08,demo-03-08,Demo Macro Watch,Demo Macro Watch,1,Nike valuation risk update 8 shapes Consumer Discretionary sentiment,auto demand concerns weighed on growth expectations. Investors linked the move to valuation risk.,Nike and Home Depot were mentioned in demo coverage of Consumer Discretionary. auto demand concerns weighed on growth expectations. Analysts said macro risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-03-08,2026-06-16T23:00:00+00:00,2026-07-07T00:00:00+00:00,,en,HD;NKE,Home Depot;Nike,Consumer Discretionary,general market sentiment,-0.341,0.085,0.489,0.426,,,,,0.000000,0.000000,1.000000,0.000000,1.000000,0.839940,15.9,29.8,74.8,0.0,0.0,0.0,-0.341,40.0,valuation risk,auto demand concerns weighed on growth expectations.,0.489,1.000,0.001255,1.000,0.001255,False,1.0,
demo-03-09,demo-03-09,Demo Market Wire,Demo Market Wire,1,Home Depot consumer spending update 9 shapes Consumer Discretionary sentiment,online sales showed resilient consumer demand. Investors linked the move to consumer spending.,Home Depot and McDonald's were mentioned in demo coverage of Consumer Discretionary. online sales showed resilient consumer demand. Analysts said demand risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-03-09,2026-06-14T20:00:00+00:00,2026-07-07T00:00:00+00:00,,en,HD;MCD,Home Depot;McDonald's,Consumer Discretionary,consumer spending,0.449,0.507,0.435,0.058,,,,,0.000000,0.000000,0.000000,0.000000,0.500000,0.793250,35.5,4.1,56.2,0.0,0.0,0.0,0.449,30.0,demand risk,Analysts said demand risk should be monitored over the next few weeks.,0.507,1.000,0.000618,1.000,0.000618,False,1.0,
demo-03-10,demo-03-10,Demo Finance Daily,Demo Finance Daily,1,McDonald's earnings risk update 10 shapes Consumer Discretionary sentiment,ticket sizes softened as shoppers became selective. Investors linked the move to earnings risk.,McDonald's and Amazon were mentioned in demo coverage of Consumer Discretionary. ticket sizes softened as shoppers became selective. Analysts said valuation risk should be monitored over the next few weeks.,,summary,False,https://example.com/demo-03-10,2026-06-12T17:00:00+00:00,2026-07-07T00:00:00+00:00,,en,AMZN;MCD,Amazon;McDonald's,Consumer Discretionary,earnings risk,0.168,0.302,0.564,0.134,,,,,0.000000,0.000000,0.000000,0.000000,1.000000,0.868890,21.1,9.4,78.6,0.0,0.0,0.0,0.168,87.2,earnings risk;valuation risk;demand risk,ticket sizes softened as shoppers became selective.,0.564,1.000,0.000304,1.000,0.000304,False,1.0,
