article_id,event_id,source,publisher,source_count,title,summary,content,body_text,content_level,rescored,url,published_at,collected_at,time_parse_error,language,tickers,companies,sector,topic,sentiment_score,p_positive,p_neutral,p_negative,b_bull,b_bear,g_growth,s_shock,k_unc,entropy_norm,optimism,fear,uncertainty,attention,attention_weight,disagreement,disagreement_input,risk_intensity,risk_category,evidence_sentence,model_confidence,relevance_weight,time_weight,source_weight,agg_weight,is_duplicate,dedup_factor,processing_error
rss-09e0a4bc86429219,rss-09e0a4bc86429219,Yahoo Finance RSS,Yahoo Finance RSS,1,What Would Steve Jobs Do Today?,"Steve Jobs, the co-founder, long-time CEO of Apple (NASDAQ: AAPL), and the heart and soul of the company, died in 2011. If he were alive, he would watch his handpicked CEO, Tim Cook, retire. Cook did almost everything right for Apple’s shareholders. But he did little to change the company’s products. The iPhone was first ... What Would Steve Jobs Do Today?","Steve Jobs, the co-founder, long-time CEO of Apple (NASDAQ: AAPL), and the heart and soul of the company, died in 2011. If he were alive, he would watch his handpicked CEO, Tim Cook, retire. Cook did almost everything right for Apple’s shareholders. But he did little to change the company’s products. The iPhone was first ... What Would Steve Jobs Do Today?",,summary,False,https://247wallst.com/investing/2026/07/06/what-would-steve-jobs-do-today/?.tsrc=rss,2026-07-06T16:01:29+00:00,2026-07-06T19:27:08+00:00,,en,AAPL,Apple,Technology,cash flow,0.036,0.096,0.845,0.059,0.000000,0.000000,0.000000,0.000000,0.428571,0.486478,6.7,4.1,61.3,0.0,0.0,0.0,0.036,0.0,,The iPhone was first ...,0.845,1.000,0.953511,0.900,0.858160,False,1.0,
rss-1d702d3ac0af0796,rss-1d702d3ac0af0796,Yahoo Finance RSS,Yahoo Finance RSS,1,"Apple's Rally: Pricing Power, AI Discipline, And The Memory Crunch","Apple (AAPL) stock dropped 6% on June 25 after the company raised Mac and iPad prices by $100 to $300, blaming a memory shortage CEO Tim Cook called a ""hundred-year flood."" Less than two weeks later, shares have clawed back most of that loss, trading near 52-week highs. The market appears to be recalculating Apple's position on two fronts: how well placed Apple is inside the DRAM shortage relative to its peers and how its restraint on AI spending looks increasingly like a smart move.","Apple (AAPL) stock dropped 6% on June 25 after the company raised Mac and iPad prices by $100 to $300, blaming a memory shortage CEO Tim Cook called a ""hundred-year flood."" Less than two weeks later, shares have clawed back most of that loss, trading near 52-week highs. The market appears to be recalculating Apple's position on two fronts: how well placed Apple is inside the DRAM shortage relative to its peers and how its restraint on AI spending looks increasingly like a smart move.",,summary,False,https://www.trefis.com/articles/605818/apples-rally-pricing-power-ai-discipline-and-the-memory-crunch/2026-07-06?.tsrc=rss,2026-07-06T15:58:02+00:00,2026-07-06T19:27:08+00:00,,en,AAPL,Apple,Technology,AI infrastructure spending,-0.094,0.437,0.032,0.531,0.000000,0.000000,0.000000,0.000000,1.000000,0.736672,30.6,37.1,53.4,0.0,0.0,0.0,-0.094,40.0,valuation risk,"Apple (AAPL) stock dropped 6% on June 25 after the company raised Mac and iPad prices by $100 to $300, blaming a memory shortage CEO Tim Cook called a ""hundred-year flood."" Less than two weeks later, shares have clawed back most of that loss, trading near 52-week highs.",0.531,1.000,0.952750,0.900,0.857475,False,1.0,
rss-7f3e309ca0153c74,rss-7f3e309ca0153c74,Yahoo Finance RSS,Yahoo Finance RSS,1,Why Broadcom Stock Is Rising Today,It's a bullish start to the week for this tech powerhouse.,It's a bullish start to the week for this tech powerhouse.,,summary,False,https://www.fool.com/investing/2026/07/06/why-broadcom-stock-is-rising-today/?.tsrc=rss,2026-07-06T15:36:32+00:00,2026-07-06T19:27:08+00:00,,en,AAPL;AVGO,Apple;Broadcom,Technology,share-price movement,0.892,0.916,0.060,0.024,1.000000,0.000000,0.000000,0.000000,0.000000,0.307692,84.1,1.7,11.6,0.0,0.0,0.0,0.892,0.0,,It's a bullish start to the week for this tech powerhouse.,0.916,1.000,0.948020,0.900,0.853218,False,1.0,
rss-55f1c4b6ea596791,rss-55f1c4b6ea596791,Yahoo Finance RSS,Yahoo Finance RSS,1,Top Midday Stories: Solstice to Acquire Element Solutions for About $14.5 Billion; Anthropic Enters 20-Year Lease Agreement for TeraWulf Data Center,"The Nasdaq Composite and S&P 500 Index were up in late-morning trading Monday, as tech stocks rose b","The Nasdaq Composite and S&P 500 Index were up in late-morning trading Monday, as tech stocks rose b",,summary,False,https://finance.yahoo.com/markets/stocks/articles/top-midday-stories-solstice-acquire-153428510.html?.tsrc=rss,2026-07-06T15:34:28+00:00,2026-07-06T19:27:08+00:00,,en,AAPL,Apple,Technology,mergers and acquisitions,0.918,0.941,0.036,0.023,0.000000,0.000000,0.000000,0.000000,0.000000,0.240398,65.9,1.6,8.6,0.0,0.0,0.0,0.918,0.0,,"The Nasdaq Composite and S&P 500 Index were up in late-morning trading Monday, as tech stocks rose b The Nasdaq Composite and S&P 500 Index were up in late-morning trading Monday, as tech stocks rose b",0.941,1.000,0.947567,0.900,0.852810,False,1.0,
rss-7a6d245f576c9211,rss-413752785326e5ee,Yahoo Finance RSS,Yahoo Finance RSS,2,Broadcom extends Apple chip supply deal through 2031,"Broadcom Inc (NASDAQ:AVGO, XETRA:1YD) has extended its chip partnership with Apple Inc (NASDAQ:AAPL, XETRA:APC) through 2031, expanding a long-running supply agreement covering custom semiconductor development and production. The expanded arrangement, disclosed by Broadcom in a regulatory...","Broadcom Inc (NASDAQ:AVGO, XETRA:1YD) has extended its chip partnership with Apple Inc (NASDAQ:AAPL, XETRA:APC) through 2031, expanding a long-running supply agreement covering custom semiconductor development and production. The expanded arrangement, disclosed by Broadcom in a regulatory...",,summary,False,https://www.proactiveinvestors.com/companies/news/1094988/broadcom-extends-apple-chip-supply-deal-through-2031-1094988.html?.tsrc=rss,2026-07-06T14:51:00+00:00,2026-07-06T19:27:08+00:00,,en,AAPL;AVGO,Apple;Broadcom,Technology,chip supply deal,0.529,0.544,0.441,0.015,0.000000,0.000000,0.000000,0.000000,0.000000,0.687244,38.1,1.0,38.3,0.0,0.0,0.0,0.529,80.0,regulatory risk,"The expanded arrangement, disclosed by Broadcom in a regulatory...",0.544,1.000,0.938080,0.900,0.844272,False,1.0,
rss-67a040181e84fe03,rss-67a040181e84fe03,Yahoo Finance RSS,Yahoo Finance RSS,1,Apple Foldable iPhone May See Tight Launch,Apple Foldable iPhone May See Tight Launch,Apple Foldable iPhone May See Tight Launch,,summary,False,https://finance.yahoo.com/technology/articles/apple-foldable-iphone-may-see-144158940.html?.tsrc=rss,2026-07-06T14:41:58+00:00,2026-07-06T19:27:08+00:00,,en,AAPL,Apple,Technology,product launch,-0.840,0.028,0.105,0.868,0.000000,0.000000,0.000000,0.000000,1.000000,0.417476,1.9,60.7,46.7,0.0,0.0,0.0,-0.840,0.0,,Apple Foldable iPhone May See Tight Launch Apple Foldable iPhone May See Tight Launch,0.868,1.000,0.936121,0.900,0.842509,False,1.0,
rss-11d12025e800b65e,rss-11d12025e800b65e,Yahoo Finance RSS,Yahoo Finance RSS,1,"[Latest] Global Healthcare Mobility Solutions Market Size/Share Worth USD 1411.37 Billion by 2035 at a 21.62% CAGR: Healthcare Foresights (Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth Rate, SWOT Analysis)","[220+ Pages Latest Report] According to a market research study published by Healthcare Foresights, the demand analysis of Global Healthcare Mobility Solutions Market size & share revenue was valued at approximately USD 199.34 Billion in 2025 and is expected to reach USD 242.44 Billion in 2026 and is expected to reach around USD 1411.37 Billion by 2035, at a CAGR of 21.62% between 2026 and 2035. The key market players listed in the report with their sales, revenues and strategies are OMRON Healt","[220+ Pages Latest Report] According to a market research study published by Healthcare Foresights, the demand analysis of Global Healthcare Mobility Solutions Market size & share revenue was valued at approximately USD 199.34 Billion in 2025 and is expected to reach USD 242.44 Billion in 2026 and is expected to reach around USD 1411.37 Billion by 2035, at a CAGR of 21.62% between 2026 and 2035. The key market players listed in the report with their sales, revenues and strategies are OMRON Healt",,summary,False,https://finance.yahoo.com/healthcare/articles/latest-global-healthcare-mobility-solutions-143000693.html?.tsrc=rss,2026-07-06T14:30:00+00:00,2026-07-06T19:27:08+00:00,,en,AAPL,Apple,Technology,earnings risk,0.122,0.136,0.850,0.014,0.000000,0.000000,1.000000,0.000000,1.000000,0.427502,19.5,1.0,76.8,0.0,0.0,0.0,0.122,0.0,,"The key market players listed in the report with their sales, revenues and strategies are OMRON Healt [220+ Pages Latest Report] According to a market research study published by Healthcare Foresights, the demand analysis of Global Healthcare Mobility Solutions Market size & share revenue was valued at approximately USD 199.34 Billion in 2025 and is expected to reach USD 242.44 Billion in 2026 and is expected to reach around USD 1411.37 Billion by 2035, at a CAGR of 21.62% between 2026 and 2035.",0.850,1.000,0.933531,0.900,0.840178,False,1.0,
rss-7ed572e2b1325ad5,rss-413752785326e5ee,Yahoo Finance RSS,Yahoo Finance RSS,2,Broadcom Stock Rises On New Apple Supply Deal,Broadcom on Monday disclosed a five-year deal to supply custom processors to consumer electronics giant Apple.,Broadcom on Monday disclosed a five-year deal to supply custom processors to consumer electronics giant Apple.,,summary,False,https://finance.yahoo.com/m/b531c753-2450-3d5f-a3c4-5d012a2071f6/broadcom-stock-rises-on-new.html?.tsrc=rss,2026-07-06T14:18:12+00:00,2026-07-06T19:27:08+00:00,,en,AAPL;AVGO,Apple;Broadcom,Technology,share-price movement,0.700,0.754,0.191,0.054,0.000000,0.000000,0.000000,0.000000,0.000000,0.625535,52.8,3.8,26.4,0.0,0.0,0.0,0.700,0.0,,Broadcom on Monday disclosed a five-year deal to supply custom processors to consumer electronics giant Apple.,0.754,1.000,0.930985,0.900,0.837886,False,1.0,
rss-f5459782d4d6cba1,rss-f5459782d4d6cba1,Yahoo Finance RSS,Yahoo Finance RSS,1,Luxshare Targets $3.1 Billion Hong Kong Listing,"Luxshare plans to price shares at the top of its range, making it Hong Kong's biggest first-time share sale this year.","Luxshare plans to price shares at the top of its range, making it Hong Kong's biggest first-time share sale this year.",,summary,False,https://finance.yahoo.com/markets/stocks/articles/luxshare-targets-3-1-billion-141303410.html?.tsrc=rss,2026-07-06T14:13:03+00:00,2026-07-06T19:27:08+00:00,,en,AAPL,Apple,Technology,general market sentiment,0.333,0.343,0.647,0.010,0.000000,0.000000,0.000000,0.000000,0.000000,0.631871,24.0,0.7,44.9,0.0,0.0,0.0,0.333,0.0,,"Luxshare plans to price shares at the top of its range, making it Hong Kong's biggest first-time share sale this year.",0.647,1.000,0.929876,0.900,0.836888,False,1.0,
rss-f683e7abcf57902f,rss-f683e7abcf57902f,Yahoo Finance RSS,Yahoo Finance RSS,1,"FTEC vs. VGT: Same Tech Bet, So Which Fund Costs You Less?","If you’re deciding between Fidelity MSCI Information Technology Index ETF (NYSEARCA:FTEC) and Vanguard Information Technology Index Fund ETF (NYSEARCA:VGT), the choice looks like a coin flip. Both track the same MSCI USA IMI Information Technology 25/50 Index. Both hold roughly the same 300-plus stocks in nearly the same weights. Both have delivered essentially identical returns ... FTEC vs. VGT: Same Tech Bet, So Which Fund Costs You Less?","If you’re deciding between Fidelity MSCI Information Technology Index ETF (NYSEARCA:FTEC) and Vanguard Information Technology Index Fund ETF (NYSEARCA:VGT), the choice looks like a coin flip. Both track the same MSCI USA IMI Information Technology 25/50 Index. Both hold roughly the same 300-plus stocks in nearly the same weights. Both have delivered essentially identical returns ... FTEC vs. VGT: Same Tech Bet, So Which Fund Costs You Less?",,summary,False,https://247wallst.com/investing/etf/2026/07/06/ftec-vs-vgt-same-tech-bet-so-which-fund-costs-you-less/?.tsrc=rss,2026-07-06T14:05:57+00:00,2026-07-06T19:27:08+00:00,,en,AAPL,Apple,Technology,general market sentiment,0.125,0.194,0.737,0.069,0.000000,0.000000,0.000000,0.000000,0.375000,0.662221,13.6,4.8,60.6,0.0,0.0,0.0,0.125,0.0,,Both have delivered essentially identical returns ...,0.737,1.000,0.928349,0.900,0.835514,False,1.0,
rss-02b46db804bc6c44,rss-02b46db804bc6c44,Yahoo Finance RSS,Yahoo Finance RSS,1,TeraWulf Stock Is Up 95% This Year: Here’s Why,"Shares of TeraWulf (NASDAQ:WULF) extended a powerful rally on Monday afternoon, separating the stock from its bitcoin-mining peers by a wide margin. WULF stock is up 4% today and up 95% year to date to $22.10, marking its most sustained rerating since going public. The catalyst is a landmark 20-year lease with Anthropic, the private ... TeraWulf Stock Is Up 95% This Year: Here’s Why","Shares of TeraWulf (NASDAQ:WULF) extended a powerful rally on Monday afternoon, separating the stock from its bitcoin-mining peers by a wide margin. WULF stock is up 4% today and up 95% year to date to $22.10, marking its most sustained rerating since going public. The catalyst is a landmark 20-year lease with Anthropic, the private ... TeraWulf Stock Is Up 95% This Year: Here’s Why",,summary,False,https://247wallst.com/investing/2026/07/06/terawulf-stock-is-up-95-this-year-heres-why/?.tsrc=rss,2026-07-06T19:11:46+00:00,2026-07-06T19:27:09+00:00,,en,MSFT,Microsoft,Technology,general market sentiment,0.880,0.900,0.080,0.020,0.000000,0.000000,0.000000,0.000000,0.000000,0.340819,63.0,1.4,13.4,0.0,0.0,0.0,0.880,24.0,valuation risk,"Shares of TeraWulf (NASDAQ:WULF) extended a powerful rally on Monday afternoon, separating the stock from its bitcoin-mining peers by a wide margin.",0.900,1.000,0.996445,0.900,0.896801,False,1.0,
rss-01a6794119a0a145,rss-d1d31a1f87dc9b67,Yahoo Finance RSS,Yahoo Finance RSS,2,Microsoft overhauls Xbox amid broader cuts,"Microsoft is cutting 3,200 Xbox gaming unit jobs, selling four game studios and reshaping the struggling business as part of a broader restructuring announced Monday.","Microsoft is cutting 3,200 Xbox gaming unit jobs, selling four game studios and reshaping the struggling business as part of a broader restructuring announced Monday.",,summary,False,https://www.axios.com/2026/07/06/microsoft-xbox-job-cuts-gaming-ai#utm_source=yahoo_finance&utm_medium=partner&utm_campaign=subs-partner-yahoo-finance-AI?.tsrc=rss,2026-07-06T19:05:25+00:00,2026-07-06T19:27:09+00:00,,en,MSFT,Microsoft,Technology,corporate restructuring,-0.960,0.009,0.022,0.969,0.000000,0.000000,0.000000,0.000000,0.000000,0.142049,0.6,67.8,5.1,0.0,0.0,0.0,-0.960,0.0,,"Microsoft is cutting 3,200 Xbox gaming unit jobs, selling four game studios and reshaping the struggling business as part of a broader restructuring announced Monday.",0.969,1.000,0.994982,0.900,0.895484,False,1.0,
rss-eba1d894a59755d3,rss-eba1d894a59755d3,Yahoo Finance RSS,Yahoo Finance RSS,1,"Stock Market Today: Dow Up, AI Stock Tests Entry; TeraWulf Cedes Key Level Despite Anthropic Deal (Live Coverage)",The Dow Jones index fell but other indexes rallied as President Trump made bullish comments. Microsoft fell on the stock market today while Micron rose.,The Dow Jones index fell but other indexes rallied as President Trump made bullish comments. Microsoft fell on the stock market today while Micron rose.,,summary,False,https://finance.yahoo.com/m/e4816774-35f0-3682-b37a-8d60e0419f0f/stock-market-today%3A-dow-up%2C.html?.tsrc=rss,2026-07-06T18:53:49+00:00,2026-07-06T19:27:09+00:00,,en,DOW;MSFT,Dow;Microsoft,Technology,AI demand,-0.862,0.048,0.043,0.910,1.000000,0.000000,1.000000,0.000000,0.000000,0.333027,33.3,63.7,11.7,0.0,0.0,0.0,-0.862,0.0,,Microsoft fell on the stock market today while Micron rose.,0.910,1.000,0.992314,0.900,0.893083,False,1.0,
rss-2b0096cc83f5687a,rss-2b0096cc83f5687a,Yahoo Finance RSS,Yahoo Finance RSS,1,Amazon Could be On the Cusp of Reshaping the Artificial Intelligence (AI) Chip Market. Should Nvidia Investors be Worried?,Amazon could start selling its Trainium chips to third-party customers in the near future.,Amazon could start selling its Trainium chips to third-party customers in the near future.,,summary,False,https://www.fool.com/investing/2026/07/06/amazon-could-be-on-the-cusp-of-reshaping-the-artif/?.tsrc=rss,2026-07-06T18:48:14+00:00,2026-07-06T19:27:09+00:00,,en,AMZN;MSFT;NVDA,Amazon;Microsoft;Nvidia,Technology,AI demand,0.175,0.257,0.660,0.083,0.000000,0.000000,0.000000,0.000000,1.000000,0.755286,18.0,5.8,79.1,0.0,0.0,0.0,0.175,0.0,,Should Nvidia Investors be Worried?,0.660,1.000,0.991032,0.900,0.891929,False,1.0,
rss-679dabd6e26d30fa,rss-679dabd6e26d30fa,Yahoo Finance RSS,Yahoo Finance RSS,1,The running list: major tech layoffs in 2026 where employers cited AI,A running look — in reverse chronological order — at the bigger tech companies that have announced significant layoffs this year with AI as a stated factor.,A running look — in reverse chronological order — at the bigger tech companies that have announced significant layoffs this year with AI as a stated factor.,,summary,False,https://finance.yahoo.com/technology/ai/articles/running-list-major-tech-layoffs-012755703.html?.tsrc=rss,2026-07-06T18:35:00+00:00,2026-07-06T19:27:09+00:00,,en,MSFT,Microsoft,Technology,corporate restructuring,-0.928,0.011,0.051,0.939,0.000000,0.000000,0.000000,0.000000,0.000000,0.235122,0.7,65.7,9.1,0.0,0.0,0.0,-0.928,0.0,,A running look — in reverse chronological order — at the bigger tech companies that have announced significant layoffs this year with AI as a stated factor.,0.939,1.000,0.988001,0.900,0.889201,False,1.0,
